Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
ár,2105,"['nhfo', 1175, 'nheo', 564, 'nhfn', 249, 'nhen', 38, 'nvfn', 19, 'x', 14, 'nvfn', 14, 'nvfo', 8, 'nvee', 6, 'nven', 6, 'nveþ', 4, 'nken', 2, 'aa', 2, 'nkeo', 2, 'nvees', 1, 'nveo', 1]",ar,64,"['e', 54, 'sfg3en', 3, 'nvfn', 3, 'nhen', 2, 'nheo', 1, 'nvfo', 1]",False,False
átti,4336,"['sfg3eþ', 3506, 'sfg1eþ', 825, 'svg3fn', 2, 'svg3en', 2, 'x', 1]",atti,3,"['sfg3eþ', 2, 'sfg1eþ', 1]",False,False
námi,142,"['nheþ', 142]",nami,1,"['nheþ', 1]",False,True
mági,17,"['nkeþ', 17]",magi,9,"['nken', 9]",True,False
hátt,1793,"['nkeo', 1118, 'aa', 576, 'lheosf', 50, 'lhensf', 49]",hatt,81,"['nkeo', 81]",False,False
árið,1297,"['nheog', 1264, 'nheng', 33]",arið,1,"['nheog', 1]",False,False
sáum,154,"['sfg1fþ', 147, 'sfg1fn', 5, 'svg1fn', 1, 'nkfþ', 1]",saum,6,"['nkeo', 6]",True,False
ára,1926,"['nhfe', 1923, 'nkeo', 1, 'nkfe', 1, 'nkfo', 1]",ara,129,"['nvens', 36, 'nkees', 36, 'nkeos', 26, 'nkeþs', 23, 'nkfe', 4, 'nkee', 2, 'nkfo', 1, 'nkeo', 1]",False,False
án,2587,"['ae', 2573, 'aa', 12, 'nkfo', 1, 'nven', 1]",an,51,"['e', 46, 'nheo', 3, 'nhen', 2]",True,False
mála,455,"['nhfe', 273, 'sng', 154, 'x', 9, 'nkeþ', 7, 'sfg1en', 5, 'sfg3fn', 3, 'nkeo', 2, 'nven', 2]",mala,23,"['sng', 12, 'nkfe', 7, 'sfg3fn', 2, 'sfg1en', 1, 'nvfe', 1]",False,False
máls,186,"['nhee', 179, 'nhees', 6, 'x', 1]",mals,1,"['nhee', 1]",False,False
átt,2404,"['ssg', 1378, 'nveo', 570, 'sfg2en', 328, 'sþghen', 88, 'nveþ', 40]",att,11,"['ssg', 11]",False,False
láta,2687,"['sng', 2585, 'sfg3fn', 96, 'lkeovf', 3, 'nhfe', 1, 'lhenvf', 1, 'lheþvf', 1]",lata,2,"['nhfe', 1, 'lvenvf', 1]",False,False
ári,558,"['nheþ', 558]",ari,444,"['nkens', 426, 'nken', 11, 'nheþ', 5, 'nkfo', 1, 'lveþsf', 1]",False,False
báta,55,"['nkfo', 45, 'nkfe', 9, 'nkfe', 1]",bata,32,"['nkeo', 18, 'nkeþ', 6, 'sng', 3, 'nhfe', 3, 'nkee', 2]",True,False
máttar,6,"['nkee', 5, 'nhens', 1]",mattar,1,"['lvfosf', 1]",True,False
ána,86,"['nveog', 78, 'nkeþ', 4, 'nkeo', 2, 'nkfo', 2]",ana,13,"['sng', 11, 'e', 2]",True,False
málað,90,"['ssg', 73, 'sþghen', 17]",malað,11,"['ssg', 10, 'lhensf', 1]",False,False
sálar,46,"['nvee', 41, 'nveo', 3, 'nvfo', 2]",salar,1,"['nkee', 1]",True,False
láti,101,"['svg3en', 47, 'svg3fn', 26, 'svg1en', 14, 'nheþ', 12, 'lkenvf', 2]",lati,4,"['nheþ', 4]",False,False
árin,318,"['nhfog', 273, 'nhfng', 39, 'nveng', 6]",arin,4,"['nkeo', 4]",True,False
mál,1305,"['nhen', 582, 'nheo', 425, 'nhfo', 191, 'nhfn', 103, 'nkfþ', 4]",mal,3,"['nkeo', 3]",True,False
dáði,23,"['sfg3eþ', 16, 'sfg1eþ', 4, 'svg3eþ', 1, 'svg1eþ', 1, 'lkenvf', 1]",daði,237,"['nkens', 210, 'nken', 15, 'nheþ', 6, 'nkfo', 6]",True,False
báti,60,"['nkeþ', 60]",bati,3,"['nken', 3]",True,False
árs,185,"['nhee', 185]",ars,2,"['nhee', 2]",False,True
málinu,352,"['nheþg', 352]",malinu,1,"['nheþg', 1]",False,True
málið,930,"['nheog', 558, 'nheng', 371, 'sfg2fn', 1]",malið,7,"['nheng', 4, 'nheog', 3]",False,False
fást,169,"['snm', 115, 'sfm3fn', 54]",fast,457,"['aa', 375, 'lheosf', 42, 'lhensf', 31, 'e', 8, 'sfm3en', 1]",True,False
lágt,380,"['aa', 321, 'lhensf', 41, 'lheosf', 18]",lagt,753,"['ssg', 519, 'sþghen', 229, 'lhensf', 5]",False,False
bátinn,139,"['nkeog', 139]",batinn,2,"['nkeng', 2]",True,False
álfa,51,"['nkfo', 34, 'nvfe', 9, 'nkfe', 5, 'nven', 2, 'nkfe', 1]",alfa,2,"['nhen', 1, 'nvens', 1]",True,False
mátti,1010,"['sfg3eþ', 883, 'sfg1eþ', 127]",matti,49,"['nkens', 42, 'lkenvf', 7]",True,False
brást,105,"['sfm3eþ', 97, 'sfm1eþ', 7, 'sfm2eþ', 1]",brast,101,"['sfg3eþ', 88, 'sfg1eþ', 7, 'sfg2eþ', 6]",True,False
ráðast,129,"['snm', 96, 'sfm3fn', 33]",raðast,9,"['sfm3fn', 5, 'ssm', 2, 'sfm3en', 2]",False,False
árar,39,"['nvfo', 23, 'nkfn', 14, 'sfg3en', 2]",arar,2,"['nkfn', 2]",False,False
bága,42,"['nkeo', 34, 'nkeþ', 7, 'lkfosf', 1]",baga,11,"['nvfe', 6, 'nven', 2, 'sng', 1, 'nkee', 1, 'nkeo', 1]",False,False
dáða,25,"['nvfe', 23, 'nkee', 2]",daða,123,"['nkeþs', 45, 'nvens', 30, 'nkeos', 23, 'nkees', 19, 'nkeo', 4, 'sng', 2]",True,False
