Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
leika,487,"['sng', 449, 'sfg3fn', 27, 'nven', 5, 'nkfo', 3, 'lkeþvf', 1, 'nkfe', 1, 'lhenvf', 1]",leiga,5,"['nven', 5]",False,False
kölluð,158,"['sþgven', 127, 'sþghfn', 29, 'lvensf', 2]",gölluð,1,"['lvensf', 1]",False,False
kallaði,939,"['sfg3eþ', 878, 'sfg1eþ', 53, 'lkenvf', 6, 'svg3eþ', 2]",gallaði,1,"['lkenvf', 1]",False,False
mikið,4409,"['aa', 2180, 'lhensf', 1373, 'lheosf', 852, 'nheng', 4]",migið,7,"['ssg', 2, 'nheng', 2, 'nheog', 2, 'lhensf', 1]",False,False
kunna,310,"['sfg3fn', 189, 'sng', 105, 'x', 12, 'lhenvf', 1, 'lkeovf', 1, 'lkeevf', 1, 'lkeþvf', 1]",gunna,49,"['nvens', 22, 'nkees', 11, 'nkeos', 9, 'nkeþs', 7]",True,False
kallað,332,"['sþghen', 206, 'ssg', 122, 'lhensf', 4]",gallað,5,"['lhensf', 5]",False,False
vík,38,"['nveþs', 12, 'nveþ', 6, 'sfg1en', 6, 'nveo', 5, 'nven', 5, 'nvens', 3, 'nveos', 1]",víg,12,"['nhen', 6, 'nhfo', 4, 'lhfnsf', 1, 'lvensf', 1]",True,False
bók,682,"['nveþ', 271, 'nveo', 247, 'nven', 162, 'nveos', 2]",bóg,2,"['nkeo', 2]",True,False
kafli,339,"['nken', 339]",gafli,7,"['nkeþ', 7]",True,False
fólkið,692,"['nheng', 500, 'nheog', 192]",fólgið,24,"['sþghen', 23, 'ssg', 1]",True,False
baka,602,"['aa', 456, 'nhfe', 98, 'sng', 46, 'nven', 1, 'sfg1en', 1]",baga,11,"['nvfe', 6, 'nven', 2, 'sng', 1, 'nkee', 1, 'nkeo', 1]",False,False
leik,326,"['nkeo', 209, 'nkeþ', 104, 'sfg1en', 9, 'nveeg', 2, 'lhfnsf', 2]",leig,1,"['sbg2en', 1]",True,False
kallaður,241,"['sþgken', 238, 'lkensf', 3]",gallaður,5,"['lkensf', 5]",False,False
auka,185,"['sng', 166, 'sfg3fn', 13, 'nkfo', 2, 'nkeo', 2, 'nkfe', 1, 'nkfe', 1]",auga,576,"['nheþ', 397, 'nheo', 149, 'sng', 15, 'nhen', 9, 'nhee', 5, 'nhfe', 1]",False,False
kaf,87,"['nheo', 87]",gaf,1083,"['sfg3eþ', 1005, 'sfg1eþ', 78]",True,False
kafla,298,"['nkeþ', 179, 'nkeo', 87, 'nkfo', 20, 'nkee', 10, 'nkfe', 2]",gafla,2,"['nkfe', 2]",False,False
kunnu,74,"['sfg3fþ', 72, 'lheþsf', 1, 'lveþvf', 1]",gunnu,6,"['nveþs', 5, 'nveos', 1]",True,False
orkaði,17,"['sfg3eþ', 17]",orgaði,18,"['sfg3eþ', 18]",False,True
baki,567,"['nheþ', 561, 'svg3en', 3, 'svg3fn', 2, 'svg1en', 1]",bagi,1,"['nken', 1]",True,False
lyki,49,"['svg3eþ', 36, 'svg3en', 12, 'svg1en', 1]",lygi,86,"['nven', 59, 'nveþ', 11, 'nveo', 8, 'svg3eþ', 7, 'svg1eþ', 1]",False,False
lauk,519,"['sfg3eþ', 444, 'sfg1eþ', 41, 'nkeþ', 19, 'nkeo', 15]",laug,73,"['as', 22, 'sfg1eþ', 20, 'sfg3eþ', 16, 'nven', 5, 'nveþ', 4, 'nveo', 3, 'nveþs', 2, 'nveos', 1]",False,False
loka,279,"['sng', 236, 'nhfe', 15, 'sfg1en', 14, 'sfg3fn', 5, 'nven', 4, 'nkees', 2, 'nkeþ', 1, 'nkeþs', 1, 'nkfo', 1]",loga,50,"['sng', 22, 'nkeþ', 8, 'nhfe', 7, 'sfg3fn', 4, 'nkeo', 3, 'nkfo', 3, 'sfg1en', 1, 'nkeos', 1, 'nkfe', 1]",False,False
kaldur,82,"['lkensf', 78, 'nheo', 3, 'nhen', 1]",galdur,24,"['nken', 16, 'nkeo', 8]",True,False
köflum,71,"['nkfþ', 71]",göflum,7,"['nkfþ', 7]",False,True
marks,96,"['nhee', 91, 'e', 4, 'nhees', 1]",margs,77,"['lheesf', 43, 'lkeesf', 34]",True,False
kátt,10,"['lhensf', 9, 'lheosf', 1]",gátt,74,"['nveo', 70, 'nveþ', 4]",True,False
kotinu,17,"['nheþg', 17]",gotinu,1,"['nheþg', 1]",False,True
kjör,65,"['nhfo', 48, 'nhfn', 12, 'nheo', 4, 'nhen', 1]",gjör,3,"['sbg2en', 1, 'nhen', 1, 'aa', 1]",False,False
klæddu,17,"['sfg3fþ', 11, 'sbg2en', 4, 'lheþsf', 1, 'lvfnvf', 1]",glæddu,6,"['sfg3fþ', 6]",False,False
kosið,83,"['ssg', 58, 'sþghen', 25]",gosið,80,"['nheng', 38, 'ssg', 21, 'nheog', 21]",False,False
kunni,501,"['sfg3eþ', 278, 'svg3en', 97, 'sfg1eþ', 81, 'svg3fn', 33, 'lkenvf', 12]",gunni,129,"['nkens', 129]",True,False
lokað,131,"['sþghen', 101, 'ssg', 28, 'lhensf', 2]",logað,2,"['ssg', 2]",False,False
kaus,85,"['sfg3eþ', 69, 'sfg1eþ', 16]",gaus,53,"['sfg3eþ', 53]",False,False
kunn,18,"['lvensf', 11, 'lhfnsf', 6, 'lhfosf', 1]",gunn,6,"['nkeþs', 3, 'nkees', 2, 'nven', 1]",True,False
sökum,276,"['nvfþ', 144, 'ae', 130, 'aa', 2]",sögum,131,"['nvfþ', 128, 'sfg1fn', 3]",False,False
merkur,21,"['lkensf', 15, 'nvfo', 4, 'nvfn', 2]",mergur,2,"['nken', 2]",True,False
krafist,76,"['sþmhen', 44, 'ssm', 32]",grafist,9,"['ssm', 6, 'svm3en', 2, 'svm3fn', 1]",False,False
sök,180,"['nveo', 81, 'nveþ', 58, 'nven', 41]",sög,10,"['nveþ', 7, 'nven', 2, 'nveo', 1]",False,True
kös,25,"['nveþ', 14, 'nven', 10, 'nveo', 1]",gös,3,"['nhfn', 3]",True,False
sekir,7,"['lkfnsf', 7]",segir,4415,"['sfg3en', 4212, 'sfg2en', 196, 'svg2en', 7]",True,False
aka,125,"['sng', 111, 'sfg3fn', 12, 'e', 2]",aga,38,"['nkeþ', 17, 'nkeo', 12, 'sng', 5, 'nkee', 4]",False,False
kalla,680,"['sng', 520, 'sfg3fn', 66, 'sfg1en', 50, 'nkeþs', 10, 'nkeos', 10, 'nkees', 6, 'nkfo', 5, 'nven', 4, 'nkeþ', 3, 'nvens', 3, 'nkfe', 1, 'nvfe', 1, 'nkeo', 1]",galla,32,"['nkfo', 20, 'nkeþ', 6, 'nkeo', 4, 'nhfe', 1, 'nkfe', 1]",False,False
taki,235,"['svg3en', 137, 'svg3fn', 48, 'nheþ', 38, 'svg1en', 12]",tagi,240,"['nheþ', 240]",False,False
kröfurnar,3,"['nvfog', 2, 'nvfng', 1]",gröfurnar,1,"['nvfog', 1]",False,False
lokum,464,"['nhfþ', 464]",logum,26,"['nhfþ', 20, 'nkfþ', 4, 'sfg1fn', 2]",False,False
lok,292,"['nhfo', 282, 'nhfn', 5, 'nhen', 5]",log,1,"['e', 1]",True,False
krónu,43,"['nveo', 32, 'nveþ', 9, 'nvee', 2]",grónu,6,"['lheþsf', 6]",True,False
lokið,652,"['sþghen', 409, 'ssg', 216, 'nheog', 10, 'sbg2fn', 9, 'nheng', 8]",logið,54,"['ssg', 35, 'nheog', 6, 'sþghen', 5, 'nheng', 4, 'lheosf', 2, 'lhensf', 2]",False,False
bakað,33,"['ssg', 21, 'sþghen', 12]",bagað,3,"['ssg', 3]",False,False
vaka,62,"['sng', 54, 'sfg3fn', 4, 'nvens', 2, 'nvfe', 1, 'nven', 1]",vaga,2,"['sng', 1, 'nven', 1]",False,False
