Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
sína,2757,"['feveo', 2097, 'fekfo', 653, 'x', 7]",sina,4,"['nven', 4]",True,False
lítið,1459,"['lhensf', 565, 'aa', 483, 'lheosf', 405, 'sbg2fn', 5, 'sfg2fn', 1]",litið,455,"['sþghen', 284, 'ssg', 170, 'lhensf', 1]",False,False
sín,1981,"['fehfo', 886, 'fpkee', 469, 'fpkfe', 168, 'fpvee', 151, 'fphee', 128, 'feven', 85, 'fphfe', 48, 'fpvfe', 38, 'fehfn', 7, 'fphfo', 1]",sin,5,"['nven', 4, 'nveþ', 1]",True,False
sínum,4094,"['fekeþ', 2014, 'fevfþ', 728, 'fehfþ', 690, 'fekfþ', 662]",sinum,5,"['nvfþ', 5]",True,False
sínu,1820,"['feheþ', 1819, 'x', 1]",sinu,14,"['nveþ', 12, 'nveo', 1, 'nvee', 1]",True,False
vík,38,"['nveþs', 12, 'nveþ', 6, 'sfg1en', 6, 'nveo', 5, 'nven', 5, 'nvens', 3, 'nveos', 1]",vik,25,"['nheo', 23, 'nhfo', 1, 'nhen', 1]",True,False
síðar,2048,"['aam', 2044, 'lvfnsf', 2, 'lvfosf', 2]",siðar,12,"['nkee', 11, 'sfg3en', 1]",True,False
víða,579,"['aa', 554, 'lveosf', 19, 'lkeovf', 4, 'lheovf', 1, 'lkfosf', 1]",viða,5,"['sng', 5]",True,False
víðar,131,"['aam', 126, 'lvfnsf', 3, 'lvfosf', 1, 'nkens', 1]",viðar,66,"['nkens', 45, 'nkee', 9, 'nkeos', 9, 'sfg3en', 3]",False,False
víst,1124,"['aa', 868, 'lhensf', 225, 'lheosf', 31]",vist,75,"['nveo', 42, 'nveþ', 21, 'nven', 12]",True,False
lífi,1143,"['nheþ', 1131, 'nhen', 11, 'nheo', 1]",lifi,70,"['svg3en', 29, 'sfg1en', 26, 'svg3fn', 15]",True,False
línur,108,"['nvfo', 66, 'nvfn', 42]",linur,9,"['lkensf', 9]",True,False
síðan,5065,"['aa', 4667, 'c', 392, 'nveng', 5, 'nvengs', 1]",siðan,2,"['nven', 2]",True,False
lítur,763,"['sfg3en', 726, 'sfg2en', 35, 'sfg1fn', 1, 'sfg1en', 1]",litur,39,"['nken', 34, 'lkensf', 2, 'nvfo', 2, 'nvfn', 1]",True,False
líta,880,"['sng', 791, 'sfg3fn', 89]",lita,50,"['nkfe', 20, 'sng', 20, 'nven', 6, 'sfg1en', 2, 'sfg3fn', 1, 'nkfe', 1]",False,False
líf,1158,"['nheo', 730, 'nhen', 401, 'nhfn', 14, 'nhfo', 8, 'nvens', 2, 'nven', 1, 'e', 1, 'nveo', 1]",lif,1,"['sbg2en', 1]",True,False
lítinn,238,"['lkeosf', 238]",litinn,72,"['nkeog', 70, 'lkensf', 2]",True,False
smíðum,23,"['nvfþ', 20, 'nhfþ', 2, 'sfg1fn', 1]",smiðum,4,"['nkfþ', 4]",True,False
sínar,748,"['fevfo', 748]",sinar,7,"['nvee', 6, 'nvfo', 1]",True,False
vísa,210,"['sng', 129, 'nven', 43, 'sfg3fn', 25, 'nkee', 5, 'lveosf', 4, 'nkeo', 1, 'nkeþ', 1, 'sfg1en', 1, 'nxens', 1]",visa,4,"['sng', 3, 'nxeos', 1]",False,False
lífið,866,"['nheng', 433, 'nheog', 432, 'as', 1]",lifið,7,"['sfg2fn', 3, 'lhensf', 2, 'lheosf', 1, 'sbg2fn', 1]",True,False
slíta,116,"['sng', 110, 'sfg3fn', 6]",slita,7,"['nhfe', 7]",True,False
síður,747,"['aam', 728, 'nvfo', 16, 'nvfn', 2, 'lkensf', 1]",siður,49,"['nken', 49]",True,False
líða,439,"['sng', 350, 'sfg3fn', 89]",liða,9,"['nhfe', 4, 'sng', 3, 'nkeo', 1, 'nkfe', 1]",False,False
smíða,124,"['sng', 115, 'nhfe', 3, 'nvfe', 2, 'sfg1en', 2, 'x', 2]",smiða,2,"['nkfe', 2]",True,False
víkur,81,"['sfg3en', 69, 'nvfn', 8, 'nvfo', 4]",vikur,360,"['nvfo', 276, 'nvfn', 75, 'nken', 6, 'nkeo', 1, 'x', 1, 'nvfo', 1]",False,False
klípum,2,"['nvfþ', 2]",klipum,1,"['nkfþ', 1]",True,False
svíða,19,"['sng', 18, 'sfg3fn', 1]",sviða,16,"['nkeo', 6, 'nkeþ', 5, 'nhfe', 3, 'nven', 1, 'nvfe', 1]",True,False
síma,179,"['nkeþ', 84, 'nkeo', 72, 'nkee', 10, 'nkfo', 5, 'sfg1en', 3, 'sng', 2, 'nvfo', 2, 'nhee', 1]",sima,2,"['nkfe', 2]",True,False
bíla,95,"['nkfo', 73, 'nkfe', 17, 'nven', 3, 'sfg3fn', 1, 'sfg1en', 1]",bila,16,"['sng', 12, 'sfg3fn', 3, 'sfg1en', 1]",False,False
bílana,25,"['nkfog', 25]",bilana,1,"['nvfe', 1]",True,False
bíður,266,"['sfg3en', 260, 'sfg2en', 6]",biður,255,"['sfg3en', 238, 'sfg2en', 12, 'nvfn', 4, 'nvfo', 1]",False,False
bíl,393,"['nkeo', 235, 'nkeþ', 157, 'nkeo', 1]",bil,324,"['nheo', 316, 'nhen', 6, 'nhfn', 2]",True,False
rís,145,"['sfg3en', 95, 'nhee', 25, 'sfg1en', 10, 'nhfn', 5, 'nheo', 4, 'nhen', 3, 'sbg2en', 3]",ris,15,"['nhen', 7, 'nheo', 3, 'nhfn', 3, 'e', 2]",False,False
lít,147,"['sfg1en', 143, 'sbg2en', 4]",lit,181,"['nkeþ', 108, 'nkeo', 67, 'lhfnsf', 3, 'lvensf', 3]",True,False
