Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
taka,3498,"['sng', 3178, 'sfg3fn', 313, 'nven', 6, 'nhfe', 1]",takka,12,"['nkeo', 9, 'sfg1en', 1, 'nkeþ', 1, 'nkfo', 1]",True,False
baka,602,"['aa', 456, 'nhfe', 98, 'sng', 46, 'nven', 1, 'sfg1en', 1]",bakka,101,"['nkeo', 39, 'nkeþs', 19, 'sng', 16, 'nkeþ', 14, 'nkeos', 7, 'nkfe', 3, 'sfg1en', 2, 'nkfo', 1]",False,False
þykir,491,"['sfg3en', 480, 'sfg2en', 9, 'sfg1en', 1, 'sfg2fn', 1]",þykkir,14,"['lkfnsf', 14]",True,False
loknum,132,"['lkeþsf', 108, 'lvfþsf', 14, 'lhfþsf', 6, 'lkfþsf', 4]",lokknum,1,"['nkeþg', 1]",True,False
reka,301,"['sng', 270, 'sfg3fn', 21, 'nkeþ', 3, 'nven', 2, 'nkfo', 2, 'nkeo', 2, 'nvens', 1]",rekka,2,"['nkfe', 1, 'nkeo', 1]",False,False
reki,41,"['nheþ', 31, 'svg3fn', 4, 'svg3en', 3, 'nken', 2, 'svg1en', 1]",rekki,1,"['nken', 1]",False,False
baki,567,"['nheþ', 561, 'svg3en', 3, 'svg3fn', 2, 'svg1en', 1]",bakki,14,"['nken', 12, 'nkens', 1, 'svg3en', 1]",False,False
loka,279,"['sng', 236, 'nhfe', 15, 'sfg1en', 14, 'sfg3fn', 5, 'nven', 4, 'nkees', 2, 'nkeþ', 1, 'nkeþs', 1, 'nkfo', 1]",lokka,32,"['sng', 21, 'nkfo', 9, 'nkfe', 1, 'sfg3fn', 1]",False,False
lokað,131,"['sþghen', 101, 'ssg', 28, 'lhensf', 2]",lokkað,2,"['ssg', 2]",False,False
lúkar,3,"['nkeo', 3]",lúkkar,3,"['sfg3en', 3]",True,False
sökum,276,"['nvfþ', 144, 'ae', 130, 'aa', 2]",sökkum,2,"['nvfþ', 2]",False,False
sök,180,"['nveo', 81, 'nveþ', 58, 'nven', 41]",sökk,40,"['sfg3eþ', 24, 'sfg1eþ', 7, 'nheo', 2, 'nveþ', 2, 'nhen', 2, 'nhfo', 2, 'nveo', 1]",False,False
taki,235,"['svg3en', 137, 'svg3fn', 48, 'nheþ', 38, 'svg1en', 12]",takki,1,"['svg3en', 1]",False,False
lokum,464,"['nhfþ', 464]",lokkum,5,"['nkfþ', 5]",True,False
lok,292,"['nhfo', 282, 'nhfn', 5, 'nhen', 5]",lokk,6,"['nkeo', 5, 'nkeþ', 1]",True,False
bakað,33,"['ssg', 21, 'sþghen', 12]",bakkað,4,"['sþghen', 2, 'ssg', 2]",False,True
rekja,231,"['sng', 227, 'sfg3fn', 4]",rekkja,1,"['nven', 1]",True,False
þakið,107,"['nheng', 38, 'nheog', 34, 'lhensf', 28, 'ssg', 6, 'lheosf', 1]",þakkið,1,"['sbg2fn', 1]",True,False
blika,6,"['sfg3fn', 3, 'nkfo', 1, 'sng', 1, 'nven', 1]",blikka,12,"['sng', 8, 'sfg3fn', 4]",False,False
stökum,12,"['nhfþ', 7, 'lkeþsf', 2, 'lkfþsf', 1, 'lvfþsf', 1, 'lhfþsf', 1]",stökkum,6,"['nkfþ', 6]",True,False
læki,12,"['nkfo', 7, 'svg3eþ', 4, 'svg3en', 1]",lækki,5,"['svg3en', 5]",False,False
fleka,16,"['nkfo', 5, 'nkeþ', 4, 'nkfe', 2, 'nkeo', 2, 'sfg3fn', 1, 'nkfe', 1, 'sng', 1]",flekka,1,"['sng', 1]",False,False
raki,11,"['nken', 8, 'svg3en', 1, 'svg3fn', 1, 'nheþ', 1]",rakki,7,"['nken', 6, 'svg3en', 1]",False,False
rok,26,"['nhen', 21, 'nheo', 5]",rokk,17,"['nhen', 6, 'nheo', 5, 'nheþ', 2, 'nxeþs', 2, 'nvens', 1, 'nkeþ', 1]",False,False
roki,13,"['nheþ', 13]",rokki,1,"['nheþ', 1]",False,True
lokaði,266,"['sfg3eþ', 213, 'sfg1eþ', 52, 'svg3eþ', 1]",lokkaði,7,"['sfg3eþ', 6, 'sfg1eþ', 1]",False,False
rokið,35,"['ssg', 21, 'nheng', 10, 'nheog', 4]",rokkið,4,"['nheng', 3, 'lhensf', 1]",False,False
tökum,265,"['nhfþ', 144, 'sfg1fn', 103, 'svg1fn', 13, 'nvfþ', 5]",tökkum,11,"['nkfþ', 9, 'sfg1fn', 2]",False,False
blikandi,8,"['slg', 3, 'lvenof', 2, 'lkeovf', 1, 'lveþsf', 1, 'lhfovf', 1]",blikkandi,11,"['lhfoof', 5, 'lhfþof', 3, 'slg', 3]",False,False
lokuðu,40,"['sfg3fþ', 27, 'lheþsf', 11, 'lveovf', 2]",lokkuðu,2,"['sfg3fþ', 2]",False,False
lök,12,"['nhfo', 8, 'nhfn', 4]",lökk,2,"['nhfn', 2]",False,False
blekið,11,"['nheng', 6, 'nheog', 5]",blekkið,1,"['sfg2fn', 1]",True,False
stök,24,"['lvensf', 14, 'lhfosf', 5, 'lhfnsf', 2, 'nhfo', 1, 'nhfn', 1, 'nven', 1]",stökk,291,"['sfg3eþ', 217, 'nheo', 37, 'sfg1eþ', 24, 'lvensf', 5, 'nhen', 4, 'nhfn', 3, 'nhfo', 1]",False,False
lak,71,"['sfg3eþ', 43, 'nheo', 19, 'nhen', 9]",lakk,4,"['nhen', 3, 'nheo', 1]",False,False
púka,9,"['nkfo', 4, 'nkeo', 3, 'nkeþ', 2]",púkka,11,"['sng', 10, 'sfg3fn', 1]",True,False
blikaði,4,"['sfg3eþ', 4]",blikkaði,32,"['sfg3eþ', 30, 'sfg1eþ', 2]",False,False
bliki,6,"['nheþ', 6]",blikki,5,"['nheþ', 4, 'svg3en', 1]",False,False
hrekja,25,"['sng', 24, 'sfg3fn', 1]",hrekkja,29,"['sng', 28, 'nkfe', 1]",False,False
rekanum,2,"['nkeþg', 2]",rekkanum,1,"['nkeþg', 1]",False,True
rekann,6,"['nkeog', 6]",rekkann,1,"['nkeog', 1]",False,True
rokur,2,"['nvfo', 2]",rokkur,2,"['nken', 2]",True,False
þoka,49,"['nven', 26, 'sng', 21, 'sfg3fn', 2]",þokka,26,"['nkeo', 17, 'nkeþ', 8, 'nkee', 1]",True,False
dúkur,8,"['nken', 8]",dúkkur,13,"['nvfo', 10, 'nvfn', 3]",True,False
moka,54,"['sng', 49, 'sfg3fn', 3, 'sfg1en', 2]",mokka,11,"['nheþ', 6, 'nheo', 4, 'nhee', 1]",True,False
rakarar,3,"['nkfn', 3]",rakkarar,1,"['nkfn', 1]",False,True
þök,8,"['nhfo', 5, 'nhfn', 3]",þökk,37,"['nven', 19, 'nveo', 11, 'nveþ', 7]",True,False
blaki,8,"['nheþ', 8]",blakki,1,"['lkenvf', 1]",True,False
slaka,49,"['sng', 39, 'sfg1en', 3, 'nven', 3, 'lkfosf', 1, 'lveosf', 1, 'sfg3fn', 1, 'nkeþ', 1]",slakka,2,"['nkeþ', 2]",False,False
lakið,11,"['nheog', 8, 'nheng', 3]",lakkið,2,"['nheng', 2]",False,False
flaka,4,"['sng', 4]",flakka,39,"['sng', 35, 'sfg1en', 3, 'sfg3fn', 1]",False,False
