Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
aðalsteinn,147,"['nkens', 147]",aðalstein,19,"['nkeos', 19]",TRUE,FALSE,19
aðfenginn,1,"['lkeosf', 1]",aðfengin,1,"['lvensf', 1]",TRUE,FALSE,1
aðframkominn,6,"['lkensf', 6]",aðframkomin,4,"['lhfnsf', 2, 'lvensf', 2]",TRUE,FALSE,4
aðilanna,2,"['nkfeg', 2]",aðilana,1,"['nkfog', 1]",TRUE,FALSE,1
aðskilinn,2,"['lkeosf', 2]",aðskilin,10,"['lhfnsf', 7, 'lvensf', 2, 'lhfosf', 1]",TRUE,FALSE,2
afnuminn,1,"['sþgken', 1]",afnumin,4,"['lhfnsf', 2, 'sþgven', 2]",TRUE,FALSE,1
afskorinn,1,"['lkeosf', 1]",afskorin,2,"['lhfnsf', 2]",TRUE,FALSE,1
afundinn,7,"['lkensf', 6, 'lkeosf', 1]",afundin,11,"['lvensf', 10, 'lhfosf', 1]",TRUE,FALSE,7
albúinn,7,"['lkensf', 7]",albúin,2,"['lhfnsf', 1, 'lvensf', 1]",TRUE,FALSE,2
aldinn,1,"['lkensf', 1]",aldin,5,"['lvensf', 2, 'lhfnsf', 1, 'lhfosf', 1, 'nhfn', 1]",TRUE,FALSE,1
aleinn,47,"['lkensf', 47]",alein,48,"['lvensf', 42, 'lhfnsf', 5, 'lhfosf', 1]",TRUE,FALSE,47
alfarinn,6,"['lkensf', 6]",alfarin,4,"['lvensf', 3, 'lhfosf', 1]",TRUE,FALSE,4
algróinn,1,"['lkensf', 1]",algróin,1,"['lhfnsf', 1]",TRUE,FALSE,1
alinn,49,"['sþgken', 29, 'lkensf', 19, 'nkeog', 1]",alin,53,"['sþgven', 29, 'sþghfn', 12, 'lvensf', 6, 'nveþ', 2, 'nveo', 2, 'lhfosf', 1, 'lhfnsf', 1]",TRUE,FALSE,49
alkominn,11,"['lkensf', 10, 'lkeosf', 1]",alkomin,2,"['lvensf', 2]",TRUE,FALSE,2
allsnakinn,7,"['lkensf', 7]",allsnakin,2,"['lvensf', 2]",TRUE,FALSE,2
alpanna,1,"['nkfegs', 1]",alpana,6,"['nkfogs', 6]",TRUE,FALSE,1
altekinn,10,"['lkensf', 9, 'lkeosf', 1]",altekin,1,"['lvensf', 1]",TRUE,FALSE,1
alvörugefinn,16,"['lkensf', 16]",alvörugefin,6,"['lvensf', 3, 'lhfnsf', 2, 'lhfosf', 1]",TRUE,FALSE,6
alvöruþrunginn,4,"['lkensf', 2, 'lkeosf', 2]",alvöruþrungin,1,"['lhfnsf', 1]",TRUE,FALSE,1
alþakinn,1,"['lkensf', 1]",alþakin,1,"['lvensf', 1]",TRUE,FALSE,1
andanna,1,"['nkfeg', 1]",andana,4,"['nkfog', 4]",TRUE,FALSE,1
andsetinn,2,"['lkensf', 2]",andsetin,1,"['lvensf', 1]",TRUE,FALSE,1
andsnúinn,6,"['lkensf', 6]",andsnúin,1,"['lvensf', 1]",TRUE,FALSE,1
andstæðinganna,7,"['nkfeg', 7]",andstæðingana,3,"['nkfog', 3]",TRUE,FALSE,3
angann,2,"['nkeog', 2]",angan,40,"['nveþ', 15, 'nveo', 13, 'nven', 12]",TRUE,FALSE,2
ann,65,"['fpkeo', 27, 'sfg3en', 17, 'nvees', 7, 'sfg1en', 6, 'nvens', 5, 'nveþs', 2, 'x', 1]",an,51,"['e', 46, 'nheo', 3, 'nhen', 2]",TRUE,FALSE,51
anna,228,"['nvens', 198, 'nvfe', 19, 'sng', 9, 'sfg3fn', 1, 'sbg2en', 1]",ana,13,"['sng', 11, 'e', 2]",FALSE,FALSE,13
annað,4539,"['foheo', 2731, 'fohen', 1705, 'lheosf', 97, 'lheovf', 3, 'ssg', 1, 'lhensf', 1, 'lhenvf', 1]",anað,1,"['ssg', 1]",FALSE,FALSE,1
annaði,4,"['sfg3eþ', 4]",anaði,2,"['sfg3eþ', 2]",FALSE,TRUE,2
annar,993,"['foken', 988, 'nkens', 2, 'nvfo', 1, 'nvee', 1, 'sfg3en', 1]",anar,1,"['sfg3en', 1]",FALSE,FALSE,1
annir,14,"['nvfo', 8, 'nvfn', 6]",anir,4,"['svg2en', 3, 'nvfo', 1]",FALSE,FALSE,4
arabanna,2,"['nkfeg', 2]",arabana,1,"['nkfog', 1]",TRUE,FALSE,1
arfblendinn,2,"['lkensf', 2]",arfblendin,1,"['lvensf', 1]",TRUE,FALSE,1
arfhreinn,3,"['lkensf', 3]",arfhrein,3,"['lvensf', 3]",TRUE,FALSE,3
arinn,7,"['nkeng', 4, 'nken', 3]",arin,4,"['nkeo', 4]",TRUE,FALSE,4
arkitektanna,2,"['nkfeg', 2]",arkitektana,1,"['nkfog', 1]",TRUE,FALSE,1
auðunn,9,"['nkens', 9]",auðun,1,"['nkens', 1]",FALSE,TRUE,1
augasteinn,1,"['nken', 1]",augastein,1,"['nkeo', 1]",TRUE,FALSE,1
aukanna,1,"['nkfeg', 1]",aukana,32,"['nkfog', 32]",TRUE,FALSE,1
aukinn,41,"['lkensf', 22, 'lkeosf', 17, 'x', 1, 'sþgken', 1]",aukin,43,"['lvensf', 29, 'sþgven', 6, 'lhfosf', 3, 'lhfnsf', 3, 'sþghfn', 2]",TRUE,FALSE,41
aumingjanna,1,"['nkfeg', 1]",aumingjana,3,"['nkfog', 3]",TRUE,FALSE,1
austrænn,3,"['lkensf', 3]",austræn,3,"['lvensf', 1, 'lhfosf', 1, 'lhfnsf', 1]",TRUE,FALSE,3
