Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
aðalsteinn,147,"['nkens', 147]",aðalstein,19,"['nkeos', 19]",True,False
aðfenginn,1,"['lkeosf', 1]",aðfengin,1,"['lvensf', 1]",True,False
aðframkominn,6,"['lkensf', 6]",aðframkomin,4,"['lhfnsf', 2, 'lvensf', 2]",True,False
aðilanna,2,"['nkfeg', 2]",aðilana,1,"['nkfog', 1]",True,False
aðskilinn,2,"['lkeosf', 2]",aðskilin,10,"['lhfnsf', 7, 'lvensf', 2, 'lhfosf', 1]",True,False
afnuminn,1,"['sþgken', 1]",afnumin,4,"['lhfnsf', 2, 'sþgven', 2]",True,False
afskorinn,1,"['lkeosf', 1]",afskorin,2,"['lhfnsf', 2]",True,False
afundinn,7,"['lkensf', 6, 'lkeosf', 1]",afundin,11,"['lvensf', 10, 'lhfosf', 1]",True,False
albúinn,7,"['lkensf', 7]",albúin,2,"['lhfnsf', 1, 'lvensf', 1]",True,False
aldinn,1,"['lkensf', 1]",aldin,5,"['lvensf', 2, 'lhfnsf', 1, 'lhfosf', 1, 'nhfn', 1]",True,False
aleinn,47,"['lkensf', 47]",alein,48,"['lvensf', 42, 'lhfnsf', 5, 'lhfosf', 1]",True,False
alfarinn,6,"['lkensf', 6]",alfarin,4,"['lvensf', 3, 'lhfosf', 1]",True,False
algróinn,1,"['lkensf', 1]",algróin,1,"['lhfnsf', 1]",True,False
alinn,49,"['sþgken', 29, 'lkensf', 19, 'nkeog', 1]",alin,53,"['sþgven', 29, 'sþghfn', 12, 'lvensf', 6, 'nveþ', 2, 'nveo', 2, 'lhfosf', 1, 'lhfnsf', 1]",True,False
alkominn,11,"['lkensf', 10, 'lkeosf', 1]",alkomin,2,"['lvensf', 2]",True,False
allsnakinn,7,"['lkensf', 7]",allsnakin,2,"['lvensf', 2]",True,False
alpanna,1,"['nkfegs', 1]",alpana,6,"['nkfogs', 6]",True,False
altekinn,10,"['lkensf', 9, 'lkeosf', 1]",altekin,1,"['lvensf', 1]",True,False
alvörugefinn,16,"['lkensf', 16]",alvörugefin,6,"['lvensf', 3, 'lhfnsf', 2, 'lhfosf', 1]",True,False
alvöruþrunginn,4,"['lkensf', 2, 'lkeosf', 2]",alvöruþrungin,1,"['lhfnsf', 1]",True,False
alþakinn,1,"['lkensf', 1]",alþakin,1,"['lvensf', 1]",True,False
andanna,1,"['nkfeg', 1]",andana,4,"['nkfog', 4]",True,False
andsetinn,2,"['lkensf', 2]",andsetin,1,"['lvensf', 1]",True,False
andsnúinn,6,"['lkensf', 6]",andsnúin,1,"['lvensf', 1]",True,False
andstæðinganna,7,"['nkfeg', 7]",andstæðingana,3,"['nkfog', 3]",True,False
angann,2,"['nkeog', 2]",angan,40,"['nveþ', 15, 'nveo', 13, 'nven', 12]",True,False
ann,65,"['fpkeo', 27, 'sfg3en', 17, 'nvees', 7, 'sfg1en', 6, 'nvens', 5, 'nveþs', 2, 'x', 1]",an,51,"['e', 46, 'nheo', 3, 'nhen', 2]",True,False
anna,228,"['nvens', 198, 'nvfe', 19, 'sng', 9, 'sfg3fn', 1, 'sbg2en', 1]",ana,13,"['sng', 11, 'e', 2]",False,False
annað,4539,"['foheo', 2731, 'fohen', 1705, 'lheosf', 97, 'lheovf', 3, 'ssg', 1, 'lhensf', 1, 'lhenvf', 1]",anað,1,"['ssg', 1]",False,False
annaði,4,"['sfg3eþ', 4]",anaði,2,"['sfg3eþ', 2]",False,True
annar,993,"['foken', 988, 'nkens', 2, 'nvfo', 1, 'nvee', 1, 'sfg3en', 1]",anar,1,"['sfg3en', 1]",False,False
annir,14,"['nvfo', 8, 'nvfn', 6]",anir,4,"['svg2en', 3, 'nvfo', 1]",False,False
arabanna,2,"['nkfeg', 2]",arabana,1,"['nkfog', 1]",True,False
arfblendinn,2,"['lkensf', 2]",arfblendin,1,"['lvensf', 1]",True,False
arfhreinn,3,"['lkensf', 3]",arfhrein,3,"['lvensf', 3]",True,False
arinn,7,"['nkeng', 4, 'nken', 3]",arin,4,"['nkeo', 4]",True,False
arkitektanna,2,"['nkfeg', 2]",arkitektana,1,"['nkfog', 1]",True,False
auðunn,9,"['nkens', 9]",auðun,1,"['nkens', 1]",False,True
augasteinn,1,"['nken', 1]",augastein,1,"['nkeo', 1]",True,False
aukanna,1,"['nkfeg', 1]",aukana,32,"['nkfog', 32]",True,False
aukinn,41,"['lkensf', 22, 'lkeosf', 17, 'x', 1, 'sþgken', 1]",aukin,43,"['lvensf', 29, 'sþgven', 6, 'lhfosf', 3, 'lhfnsf', 3, 'sþghfn', 2]",True,False
aumingjanna,1,"['nkfeg', 1]",aumingjana,3,"['nkfog', 3]",True,False
austrænn,3,"['lkensf', 3]",austræn,3,"['lvensf', 1, 'lhfosf', 1, 'lhfnsf', 1]",True,False
austrænna,1,"['lkfesf', 1]",austræna,7,"['lveosf', 4, 'lvenvf', 1, 'lheevf', 1, 'lheþvf', 1]",True,False
ákafann,2,"['nkeog', 2]",ákafan,4,"['lkeosf', 4]",True,False
ákveðinn,188,"['lkensf', 152, 'lkeosf', 36]",ákveðin,259,"['lvensf', 200, 'lhfosf', 35, 'lhfnsf', 15, 'sþghfn', 5, 'sþgven', 4]",True,False
álanna,1,"['nkfeg', 1]",álana,2,"['nkfog', 2]",True,False
áleitinn,4,"['lkensf', 3, 'lkeosf', 1]",áleitin,12,"['lvensf', 11, 'lhfnsf', 1]",True,False
álfanna,3,"['nkfeg', 3]",álfana,6,"['nkfog', 6]",True,False
álitinn,16,"['sþgken', 16]",álitin,15,"['sþgven', 9, 'nhfng', 2, 'lhfnsf', 2, 'nhfog', 1, 'lvensf', 1]",True,False
ánn,1,"['nken', 1]",án,2587,"['ae', 2573, 'aa', 12, 'nkfo', 1, 'nven', 1]",True,False
ánna,9,"['nveog', 5, 'nvfeg', 4]",ána,86,"['nveog', 78, 'nkeþ', 4, 'nkeo', 2, 'nkfo', 2]",False,False
áranna,24,"['nhfeg', 24]",árana,1,"['nkfog', 1]",True,False
áræðinn,5,"['lkensf', 5]",áræðin,2,"['lvensf', 2]",True,False
ásanna,1,"['nkfeg', 1]",ásana,2,"['nkfog', 2]",True,False
áskilinn,6,"['lkensf', 6]",áskilin,3,"['sþghfn', 2, 'lvensf', 1]",True,False
ástfanginn,59,"['lkensf', 59]",ástfangin,67,"['lvensf', 58, 'lhfnsf', 8, 'lhfosf', 1]",True,False
