Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
stóð,3454,"['sfg3eþ', 3135, 'sfg1eþ', 294, 'nhen', 7, 'sfg2eþ', 5, 'nheo', 5, 'nhfn', 4, 'e', 3, 'nhfo', 1]",stoð,45,"['nveo', 22, 'nven', 14, 'nveþ', 8, 'nhfe', 1]",True,False
stóðum,97,"['sfg1fþ', 97]",stoðum,19,"['nvfþ', 19]",True,False
fór,5996,"['sfg3eþ', 4737, 'sfg1eþ', 1259]",for,120,"['e', 113, 'lkeþof', 2, 'lhfeof', 1, 'lhfoof', 1, 'lvenof', 1, 'lkenof', 1, 'nven', 1]",True,False
góðum,307,"['lkeþsf', 169, 'lhfþsf', 59, 'lvfþsf', 50, 'lkfþsf', 26, 'nkfþ', 3]",goðum,2,"['nkfþ', 2]",False,False
fórum,541,"['sfg1fþ', 503, 'nvfþ', 38]",forum,2,"['sfg1fn', 1, 'nkfþ', 1]",True,False
góða,939,"['lveosf', 493, 'lkfosf', 99, 'lhenvf', 79, 'lheovf', 64, 'nkee', 48, 'lvenvf', 45, 'lheþvf', 37, 'lkeovf', 22, 'lkeþvf', 21, 'x', 14, 'lheevf', 6, 'nkfo', 5, 'lkeevf', 3, 'nkeþ', 3]",goða,6,"['nkeos', 1, 'nhfe', 1, 'nkfe', 1, 'nkeþs', 1, 'nkeþ', 1, 'nkee', 1]",False,False
harmóníku,9,"['nveo', 6, 'nveþ', 2, 'e', 1]",harmoníku,3,"['nveo', 3]",False,False
bóginn,132,"['nkeog', 132]",boginn,14,"['nkeng', 7, 'lkensf', 7]",True,False
hóf,332,"['sfg3eþ', 281, 'sfg1eþ', 37, 'nheo', 6, 'nhen', 4, 'nkeo', 2, 'nhfo', 2]",hof,10,"['nheo', 3, 'nhfo', 3, 'nhen', 2, 'nhfn', 1, 'nheos', 1]",False,False
lóðið,6,"['nheng', 5, 'nheog', 1]",loðið,5,"['lhensf', 4, 'lheosf', 1]",True,False
góð,754,"['lvensf', 510, 'lhfosf', 130, 'lhfnsf', 112, 'nkeo', 1, 'lvensf', 1]",goð,17,"['nhfn', 7, 'nhfo', 4, 'nhen', 4, 'nheo', 2]",True,False
gólf,224,"['nheo', 192, 'nhfn', 21, 'nhfo', 8, 'nhen', 3]",golf,11,"['nheo', 9, 'nhen', 2]",False,False
góðar,229,"['lvfnsf', 124, 'lvfosf', 104, 'nkfn', 1]",goðar,4,"['nkfn', 4]",False,False
lóðir,21,"['nvfo', 17, 'nvfn', 4]",loðir,4,"['sfg3en', 4]",True,False
bóga,23,"['nkfo', 23]",boga,46,"['nkeþ', 31, 'nkeo', 5, 'nkfo', 4, 'sng', 4, 'nvens', 1, 'nkees', 1]",False,False
skóla,423,"['nkeþ', 231, 'nkeo', 132, 'nkfo', 31, 'nkfe', 18, 'nkee', 5, 'nhfe', 3, 'sng', 2, 'sfg3fn', 1]",skola,34,"['sng', 31, 'sfg1en', 2, 'nhfe', 1]",False,False
tónn,33,"['nken', 33]",tonn,54,"['nhfn', 42, 'nhfo', 10, 'nhen', 1, 'nheo', 1]",True,False
ótta,224,"['nkeþ', 130, 'nkeo', 49, 'nkee', 41, 'nven', 4]",otta,11,"['nkeos', 5, 'nkeþs', 3, 'nvens', 2, 'nkees', 1]",True,False
fróðan,1,"['lkeosf', 1]",froðan,3,"['nveng', 3]",True,False
ók,190,"['sfg3eþ', 163, 'sfg1eþ', 27]",ok,61,"['c', 45, 'e', 7, 'au', 6, 'nhen', 2, 'nheo', 1]",True,False
hófi,46,"['nheþ', 46]",hofi,10,"['nheþs', 7, 'nheþ', 3]",False,False
bónda,114,"['nkeo', 43, 'nkeþ', 36, 'nkee', 31, 'nkeos', 2, 'nkees', 1, 'nkeþs', 1]",bonda,1,"['sng', 1]",True,False
góði,184,"['lkenvf', 124, 'nken', 58, 'nheþ', 2]",goði,9,"['nken', 8, 'nheþ', 1]",False,False
hópar,35,"['nkfn', 35]",hopar,4,"['sfg3en', 4]",True,False
nót,5,"['nven', 4, 'nveþ', 1]",not,51,"['e', 26, 'nhfo', 16, 'nhfn', 8, 'x', 1]",True,False
