Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
misst,231,"['ssg', 230, 'ssm', 1]",mist,1,"['nveo', 1]",True,False
leikfimissal,1,"['nkeþ', 1]",leikfimisal,3,"['nkeþ', 2, 'nkeo', 1]",False,False
blessi,27,"['svg3en', 27]",blesi,7,"['nkens', 7]",True,False
kassa,111,"['nkeo', 72, 'nkeþ', 27, 'nkfo', 11, 'nkee', 1]",kasa,1,"['sng', 1]",True,False
kyssi,17,"['sfg1en', 13, 'svg3en', 4]",kysi,17,"['svg3eþ', 15, 'svg1eþ', 2]",True,False
ýmiss,49,"['fokee', 49]",ýmis,197,"['fohfo', 115, 'fohfn', 73, 'fokee', 6, 'foven', 3]",False,False
lánssamir,1,"['lkfnsf', 1]",lánsamir,1,"['lkfnsf', 1]",False,True
vissa,53,"['lveosf', 20, 'nven', 15, 'lkfosf', 8, 'sng', 4, 'sfg3fn', 2, 'lhenvf', 2, 'sfg1en', 2]",visa,4,"['sng', 3, 'nxeos', 1]",False,False
bassinn,4,"['nkeng', 4]",basinn,1,"['nkeng', 1]",False,True
eldhúss,12,"['nhee', 12]",eldhús,256,"['nheo', 222, 'nhen', 32, 'nhfn', 1, 'nhfo', 1]",True,False
kastljóss,1,"['nhee', 1]",kastljós,6,"['nhens', 4, 'nhfn', 1, 'nhen', 1]",True,False
tossa,1,"['nkeþ', 1]",tosa,11,"['sng', 11]",True,False
hnussaði,31,"['sfg3eþ', 30, 'sfg1eþ', 1]",hnusaði,9,"['sfg3eþ', 9]",False,False
kassettu,5,"['nveo', 5]",kasettu,3,"['nveo', 3]",False,True
tillitssemi,30,"['nveþ', 16, 'nveo', 8, 'nven', 6]",tillitsemi,1,"['nveþ', 1]",False,False
leikfimissalnum,3,"['nkeþg', 3]",leikfimisalnum,2,"['nkeþg', 2]",False,True
lessa,2,"['nven', 2]",lesa,879,"['sng', 838, 'sfg3fn', 38, 'nhfe', 3]",True,False
visst,18,"['lheosf', 11, 'lhensf', 7]",vist,75,"['nveo', 42, 'nveþ', 21, 'nven', 12]",True,False
flass,6,"['nhee', 3, 'nheo', 2, 'nhen', 1]",flas,3,"['nhen', 2, 'nheo', 1]",False,False
flassið,3,"['nheog', 2, 'nheng', 1]",flasið,31,"['nheog', 31]",False,False
rissa,5,"['sng', 4, 'nven', 1]",risa,16,"['nkeþ', 6, 'nkee', 3, 'nkeo', 3, 'nhfe', 3, 'nkfo', 1]",True,False
massa,2,"['nkeþ', 1, 'nven', 1]",masa,11,"['sng', 9, 'sfg3fn', 1, 'sfg1en', 1]",True,False
húss,32,"['nhee', 31, 'nhee', 1]",hús,945,"['nheo', 465, 'nhen', 230, 'nhfo', 140, 'nhfn', 84, 'nhens', 24, 'nheos', 2]",True,False
sauðskinnsskór,1,"['nkfn', 1]",sauðskinnskór,1,"['nken', 1]",True,False
mótsstað,1,"['nkeþ', 1]",mótstað,1,"['nkeþ', 1]",False,True
massi,3,"['nken', 3]",masi,4,"['nheþ', 3, 'svg3fn', 1]",True,False
hróss,7,"['nhee', 7]",hrós,35,"['nheo', 28, 'nhen', 6, 'nhee', 1]",False,False
bassa,7,"['nkeo', 4, 'nkeþ', 2, 'nkfe', 1]",basa,2,"['nkee', 1, 'nkeþ', 1]",False,False
bassanum,1,"['nkeþg', 1]",basanum,1,"['nkeþg', 1]",False,True
hassi,17,"['nheþ', 17]",hasi,1,"['nken', 1]",True,False
fússi,15,"['nheþ', 15]",fúsi,138,"['nkens', 136, 'lkenvf', 2]",True,False
kussa,1,"['nven', 1]",kusa,1,"['nkfo', 1]",True,False
kussu,1,"['nvee', 1]",kusu,24,"['sfg3fþ', 16, 'nveo', 7, 'nveþ', 1]",True,False
gossa,11,"['sng', 10, 'sfg3fn', 1]",gosa,30,"['nhfe', 17, 'nkeos', 6, 'nkfe', 4, 'nkee', 3]",True,False
víss,1,"['lheesf', 1]",vís,44,"['nhee', 20, 'lvensf', 14, 'lkensf', 5, 'lhfnsf', 3, 'nxens', 1, 'lhfosf', 1]",True,False
landsstjórn,2,"['nven', 1, 'nveþ', 1]",landstjórn,2,"['nven', 2]",False,False
sólarljóss,1,"['nhee', 1]",sólarljós,1,"['nhen', 1]",True,False
edikssýru,1,"['nveo', 1]",ediksýru,1,"['nveo', 1]",False,True
ýmisskonar,3,"['lkeþsf', 1, 'lvfnsf', 1, 'lkfþsf', 1]",ýmiskonar,27,"['lvfnsf', 5, 'lvfoof', 4, 'lveoof', 3, 'lveesf', 3, 'lhfþof', 3, 'lhfnof', 2, 'lveþof', 2, 'lvfosf', 2, 'lkfþsf', 1, 'lkeoof', 1, 'lvfeof', 1]",False,False
blessa,27,"['sng', 25, 'sfg1en', 1, 'sfg3fn', 1]",blesa,7,"['nven', 4, 'nkeþs', 1, 'nkeþ', 1, 'nkeos', 1]",True,False
landsspítali,2,"['nken', 2]",landspítali,1,"['nkens', 1]",True,False
háskólahúss,4,"['nhee', 4]",háskólahús,14,"['nheo', 7, 'nhen', 6, 'nhfo', 1]",True,False
landsstjórninni,11,"['nveþg', 11]",landstjórninni,3,"['nveþg', 3]",False,True
landssjóðs,1,"['nkee', 1]",landsjóðs,1,"['nkee', 1]",False,True
landsspítalinn,6,"['nkeng', 6]",landspítalinn,2,"['nkengs', 2]",True,False
landsspítalann,2,"['nkeog', 2]",landspítalann,5,"['nkeogs', 5]",True,False
landsspítala,5,"['nkeo', 4, 'nkfo', 1]",landspítala,6,"['nkeos', 3, 'nkeþs', 2, 'nkees', 1]",True,False
landsspítalanum,4,"['nkeþg', 4]",landspítalanum,19,"['nkeþgs', 19]",True,False
safnahúss,2,"['nhee', 2]",safnahús,8,"['nhen', 7, 'nhfn', 1]",True,False
rissinu,1,"['nheþg', 1]",risinu,16,"['nheþg', 16]",False,True
