Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
myndir,772,"['nvfo', 446, 'nvfn', 284, 'svg2eþ', 42]",myntir,1,"['nvfo', 1]",False,False
dag,2207,"['nkeo', 2185, 'nkeos', 14, 'x', 8]",tag,1,"['nhen', 1]",True,False
halda,2540,"['sng', 2293, 'sfg3fn', 242, 'nven', 4, 'nhfe', 1]",halta,4,"['lveosf', 2, 'lkeþvf', 2]",True,False
dýr,198,"['nhfo', 48, 'lvensf', 45, 'nhen', 42, 'nhfn', 28, 'lhfnsf', 18, 'lkensf', 8, 'nheo', 5, 'lhfosf', 4]",týr,2,"['nkens', 2]",True,False
framkvæmd,167,"['nveo', 81, 'nveþ', 50, 'sþgven', 24, 'nven', 11, 'lhfnsf', 1]",framkvæmt,10,"['ssg', 8, 'sþghen', 2]",True,False
held,1929,"['sfg1en', 1920, 'lvensf', 5, 'nveo', 2, 'e', 1, 'lvensf', 1]",helt,3,"['lhensf', 2, 'ssg', 1]",True,False
dæmdi,19,"['sfg3eþ', 13, 'sfg1eþ', 4, 'lkenvf', 2]",tæmdi,26,"['sfg3eþ', 19, 'sfg1eþ', 6, 'svg3eþ', 1]",False,False
dómi,75,"['nkeþ', 75]",tómi,13,"['nheþ', 12, 'lkenvf', 1]",True,False
nefnd,209,"['sþgven', 72, 'sþghfn', 56, 'nven', 34, 'nveo', 28, 'nveþ', 16, 'lhfnsf', 3]",nefnt,167,"['sþghen', 102, 'ssg', 56, 'lhensf', 7, 'lheosf', 2]",True,False
dæmi,622,"['nhen', 249, 'nheo', 154, 'nhfn', 123, 'nhfo', 51, 'nheþ', 41, 'sfg1en', 2, 'svg3en', 2]",tæmi,2,"['sfg1en', 2]",False,False
hvíld,72,"['nveo', 44, 'nven', 12, 'nveþ', 12, 'lvensf', 4]",hvílt,22,"['ssg', 22]",True,False
vandi,98,"['nken', 91, 'sfg3eþ', 7]",vanti,26,"['svg3en', 24, 'svg3fn', 1, 'nkeþ', 1]",True,False
senda,527,"['sng', 500, 'sfg3fn', 18, 'sþgveo', 3, 'lkfosf', 2, 'nven', 2, 'lveosf', 1, 'nkfo', 1]",senta,1,"['nhfe', 1]",True,False
lyndi,19,"['nheþ', 19]",lynti,3,"['sfg3eþ', 3]",True,False
vanda,243,"['nkeþ', 120, 'nkeo', 64, 'sng', 53, 'sfg3fn', 1, 'nven', 1, 'sfg1en', 1, 'nkee', 1, 'lkfosf', 1, 'nvfe', 1]",vanta,31,"['sng', 30, 'x', 1]",False,False
mund,138,"['nkeo', 113, 'nheo', 13, 'nveþ', 10, 'nveo', 1, 'nven', 1]",munt,45,"['sfg2en', 45]",True,False
skildi,775,"['sfg3eþ', 518, 'sfg1eþ', 203, 'svg3eþ', 32, 'nhen', 7, 'nkeþ', 5, 'sfg2eþ', 3, 'svg1eþ', 3, 'nheþ', 3, 'nheo', 1]",skilti,61,"['nheo', 18, 'nheþ', 17, 'nhen', 13, 'nhfn', 8, 'nhfo', 5]",False,False
hendi,840,"['nveþ', 796, 'sfg1en', 15, 'nvee', 10, 'nveo', 6, 'svg3en', 6, 'svg3fn', 3, 'nkeþ', 2, 'svg1en', 1, 'svg2en', 1]",henti,160,"['svg3eþ', 87, 'sfg3eþ', 55, 'sfg1eþ', 17, 'svg3fn', 1]",False,False
mynd,1855,"['nven', 1031, 'nveo', 512, 'nveþ', 310, 'nveþs', 2]",mynt,39,"['nveþ', 24, 'nven', 8, 'nveo', 7]",False,False
dómum,19,"['nkfþ', 19]",tómum,44,"['lkeþsf', 16, 'lvfþsf', 13, 'lhfþsf', 12, 'lkfþsf', 3]",True,False
skildum,60,"['sfg1fþ', 58, 'nhfþ', 2]",skiltum,7,"['nhfþ', 7]",False,False
dæma,196,"['sng', 186, 'sfg3fn', 5, 'lkeþvf', 3, 'nhfe', 1, 'lkeevf', 1]",tæma,34,"['sng', 32, 'sfg3fn', 2]",False,False
völdust,5,"['sfm3fþ', 4, 'lvense', 1]",völtust,1,"['lvense', 1]",False,False
mynda,325,"['sng', 149, 'sfg3fn', 145, 'nvfe', 26, 'x', 3, 'nvfe', 1, 'nhfe', 1]",mynta,2,"['nven', 2]",True,False
blind,29,"['lvensf', 18, 'lhfnsf', 6, 'lhfosf', 3, 'e', 2]",blint,8,"['lhensf', 6, 'lheosf', 2]",True,False
töldu,220,"['sfg3fþ', 217, 'lheþsf', 2, 'lhfovf', 1]",töltu,1,"['sfg3fþ', 1]",False,False
dóti,66,"['nheþ', 66]",tóti,678,"['nkens', 626, 'nken', 52]",True,False
send,119,"['sþgven', 68, 'sþghfn', 47, 'sþghfo', 1, 'e', 1, 'lhfnsf', 1, 'lhfosf', 1]",sent,242,"['ssg', 175, 'sþghen', 58, 'lheosf', 2, 'sþgheo', 2, 'nheo', 2, 'lhensf', 2, 'nhfo', 1]",True,False
afhenda,86,"['sng', 80, 'sfg3fn', 4, 'lveosf', 1, 'lkfosf', 1]",afhenta,4,"['sþgveo', 4]",True,False
dregur,343,"['sfg3en', 341, 'sfg2en', 2]",tregur,26,"['lkensf', 25, 'nken', 1]",True,False
sæmd,21,"['nveo', 10, 'nven', 5, 'nveþ', 3, 'lvensf', 2, 'lhfosf', 1]",sæmt,3,"['ssg', 2, 'lhensf', 1]",True,False
eldi,76,"['nheþ', 27, 'nkeþ', 22, 'nheo', 13, 'svg3en', 4, 'nhen', 4, 'nkeo', 2, 'svg3fn', 2, 'nkeþs', 1, 'sfg1en', 1]",elti,121,"['sfg3eþ', 96, 'sfg1eþ', 14, 'svg3eþ', 8, 'sfg1en', 2, 'svg3fn', 1]",False,False
völdu,20,"['sfg3fþ', 17, 'lheþsf', 3]",völtu,3,"['lheþsf', 2, 'lvfovf', 1]",False,False
haldi,195,"['svg3en', 88, 'nheþ', 79, 'svg3fn', 19, 'svg1en', 9]",halti,4,"['lkenvf', 4]",True,False
dóttir,292,"['nven', 292]",tóttir,1,"['nvfo', 1]",True,False
myndin,314,"['nveng', 314]",myntin,1,"['nveng', 1]",False,True
drukkum,32,"['sfg1fþ', 32]",trukkum,2,"['nkfþ', 2]",True,False
auðveld,27,"['lvensf', 24, 'lhfnsf', 3]",auðvelt,336,"['lhensf', 289, 'lheosf', 47]",True,False
elda,145,"['sng', 131, 'sfg1en', 5, 'nkfo', 4, 'nkfe', 3, 'sfg3fn', 2]",elta,107,"['sng', 91, 'sfg3fn', 9, 'lhenvf', 2, 'lvenvf', 2, 'lkeovf', 1, 'lveosf', 1, 'lkfosf', 1]",False,False
eld,88,"['nkeo', 84, 'nveo', 3, 'nkeos', 1]",elt,33,"['ssg', 27, 'lhensf', 2, 'sþgven', 1, 'lvensf', 1, 'sbg2en', 1, 'lhfnsf', 1]",True,False
drukknum,9,"['nkeþg', 3, 'lkfþsf', 2, 'lvfþsf', 1, 'lhfþsf', 1, 'lkeþsf', 1, 'sfg1fn', 1]",trukknum,1,"['nkeþg', 1]",False,False
farsæld,7,"['nveo', 3, 'nveþ', 3, 'nven', 1]",farsælt,15,"['lhensf', 11, 'lheosf', 4]",True,False
synd,62,"['nven', 40, 'nveþ', 12, 'nveo', 8, 'lvensf', 1, 'sbg2en', 1]",synt,11,"['ssg', 10, 'lvensf', 1]",False,False
vændum,120,"['nvfþ', 119, 'lkeþsf', 1]",væntum,4,"['sfg1fþ', 3, 'svg1fþ', 1]",True,False
dónum,1,"['nkfþ', 1]",tónum,18,"['nkfþ', 16, 'nvfþg', 2]",False,False
hendum,6,"['sfg1fn', 6]",hentum,3,"['sfg1fn', 1, 'sfg1fþ', 1, 'lhfþsf', 1]",False,False
seldu,37,"['sfg3fþ', 31, 'svg3fþ', 3, 'sng', 1, 'lheþsf', 1, 'lvfþvf', 1]",seltu,27,"['nveþ', 13, 'nvee', 6, 'sfg3fþ', 4, 'nveo', 3, 'nhfos', 1]",False,False
