Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
þetta,23070,"['fahen', 15281, 'faheo', 7725, 'nkfo', 34, 'sng', 22, 'nven', 5, 'aa', 2, 'lhenvf', 1]",þeta,3,"['nven', 2, 'nvfe', 1]",False,False
ættu,365,"['svg3fþ', 361, 'sfg3fþ', 4]",ætu,4,"['svg3fþ', 4]",False,False
átti,4336,"['sfg3eþ', 3506, 'sfg1eþ', 825, 'svg3fn', 2, 'svg3en', 2, 'x', 1]",áti,2,"['nheþ', 2]",True,False
mætti,1030,"['svg3eþ', 796, 'svg1eþ', 60, 'sfg1eþ', 60, 'sfg3eþ', 59, 'nkeþ', 53, 'lkenvf', 1, 'nkfo', 1]",mæti,27,"['sfg1en', 10, 'svg3en', 8, 'svg3fn', 5, 'svg1eþ', 2, 'nhfn', 1, 'svg3eþ', 1]",False,False
sitt,1961,"['feheo', 1942, 'fehen', 19]",sit,138,"['sfg1en', 136, 'sbg2en', 2]",True,False
fljótt,404,"['aa', 396, 'lhensf', 8]",fljót,87,"['lvensf', 51, 'lhfnsf', 18, 'nhen', 9, 'nhfo', 5, 'nheo', 4]",True,False
ætti,1949,"['svg3eþ', 1492, 'svg1eþ', 441, 'sfg1eþ', 9, 'sfg3eþ', 6, 'svg3fþ', 1]",æti,28,"['nheþ', 18, 'svg3en', 6, 'nhen', 2, 'nhfn', 1, 'svg3fn', 1]",True,False
setti,796,"['sfg3eþ', 692, 'sfg1eþ', 95, 'svg3eþ', 6, 'lkenvf', 2, 'nheþ', 1]",seti,34,"['nheþ', 30, 'nken', 4]",False,False
settur,186,"['sþgken', 172, 'lkensf', 14]",setur,277,"['sfg3en', 259, 'sfg2en', 16, 'nvfo', 2]",True,False
gott,2516,"['lhensf', 1987, 'lheosf', 510, 'nhen', 7, 'aa', 7, 'nheo', 5]",got,8,"['e', 8]",True,False
sótti,341,"['sfg3eþ', 257, 'sfg1eþ', 83, 'svg3en', 1]",sóti,5,"['nheþ', 3, 'nkens', 2]",True,False
sótt,178,"['ssg', 117, 'sþghen', 41, 'sþgven', 9, 'lhfnsf', 3, 'lvensf', 3, 'nveo', 2, 'nveþ', 2, 'nven', 1]",sót,6,"['nheo', 4, 'nhen', 2]",True,False
veitti,256,"['sfg3eþ', 241, 'sfg1eþ', 11, 'svg3eþ', 3, 'lkenvf', 1]",veiti,29,"['svg3en', 25, 'sfg1en', 4]",True,False
nótt,848,"['nveo', 759, 'nven', 54, 'nveþ', 23, 'nvens', 11, 'nveos', 1]",nót,5,"['nven', 4, 'nveþ', 1]",False,False
áttu,1206,"['sfg3fþ', 1093, 'sfg2en', 102, 'nveo', 6, 'nveþ', 4, 'nvee', 1]",átu,24,"['sfg3fþ', 19, 'nveo', 4, 'nvee', 1]",False,False
átt,2404,"['ssg', 1378, 'nveo', 570, 'sfg2en', 328, 'sþghen', 88, 'nveþ', 40]",át,102,"['sfg3eþ', 85, 'sfg1eþ', 11, 'au', 4, 'nhen', 1, 'nheo', 1]",True,False
bætta,6,"['lveosf', 4, 'lkfosf', 2]",bæta,408,"['sng', 404, 'sfg3fn', 3, 'nkfe', 1]",True,False
máttar,6,"['nkee', 5, 'nhens', 1]",mátar,24,"['nkfn', 18, 'sfg3en', 6]",True,False
rætt,254,"['sþghen', 147, 'ssg', 107]",ræt,1,"['sfg1en', 1]",True,False
hvatti,107,"['sfg3eþ', 99, 'sfg1eþ', 8]",hvati,13,"['nken', 11, 'svg3en', 2]",True,False
áttum,464,"['sfg1fþ', 302, 'nvfþ', 159, 'sfg1fn', 2, 'svg1fn', 1]",átum,16,"['sfg1fþ', 16]",False,False
hlýtt,125,"['lhensf', 83, 'ssg', 25, 'lheosf', 14, 'aa', 3]",hlýt,56,"['sfg1en', 56]",True,False
sættust,9,"['sfm3fþ', 9]",sætust,3,"['lvense', 3]",True,False
