Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
skútum,6,"['nvfþ', 6]",skutum,2,"['sfg1fþ', 1, 'nkfþ', 1]",True,False
úrið,63,"['nheog', 53, 'nheng', 10]",urið,2,"['lhensf', 1, 'ssg', 1]",True,False
brúna,74,"['nveog', 49, 'lveosf', 6, 'lkeovf', 3, 'lhenvf', 3, 'lkeþvf', 3, 'sng', 3, 'lheþvf', 2, 'lvenvf', 2, 'nvfe', 2, 'sfg3fn', 1]",bruna,50,"['nkeo', 13, 'sng', 13, 'nkeþ', 9, 'nkfe', 9, 'sfg1en', 3, 'nven', 2, 'nkee', 1]",False,False
rúm,277,"['nheo', 158, 'nhen', 53, 'nhfn', 21, 'lvensf', 19, 'lhfosf', 15, 'lhfnsf', 7, 'nhfo', 4]",rum,1,"['nkeo', 1]",True,False
búðum,61,"['nvfþ', 51, 'nvfþs', 9, 'sfg1fn', 1]",buðum,11,"['sfg1fþ', 11]",True,False
kúnna,11,"['nkfo', 3, 'nkeþ', 3, 'nvfeg', 3, 'nkeo', 2]",kunna,310,"['sfg3fn', 189, 'sng', 105, 'x', 12, 'lhenvf', 1, 'lkeovf', 1, 'lkeevf', 1, 'lkeþvf', 1]",True,False
brúnum,95,"['nvfþ', 32, 'lkeþsf', 19, 'nvfþg', 14, 'lvfþsf', 12, 'lhfþsf', 11, 'lkfþsf', 5, 'sfg1fn', 1, 'nvfþs', 1]",brunum,5,"['sfg1fn', 4, 'nkfþ', 1]",False,False
púða,23,"['nkfo', 10, 'nkeo', 8, 'nkeþ', 4, 'nkee', 1]",puða,2,"['sng', 1, 'nkee', 1]",False,False
búnar,100,"['lvfnsf', 100]",bunar,7,"['sfg3en', 7]",True,False
súð,19,"['nveþ', 16, 'nveo', 3]",suð,24,"['nhen', 15, 'nheo', 9]",True,False
rúllum,7,"['nvfþ', 5, 'svg1fn', 1, 'sfg1fn', 1]",rullum,3,"['nvfþ', 3]",False,False
rúllunum,1,"['nvfþg', 1]",rullunum,1,"['nvfþg', 1]",False,True
kúla,25,"['nven', 19, 'sng', 5, 'nvens', 1]",kula,1,"['sng', 1]",False,False
