Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
fæddur,105,"['sþgken', 105]",væddur,1,"['lkensf', 1]",True,False
fara,5987,"['sng', 5456, 'sfg3fn', 497, 'nvfe', 23, 'nhfe', 6, 'x', 5]",vara,143,"['sng', 81, 'nkee', 32, 'sfg3fn', 10, 'nven', 10, 'nvfe', 6, 'nkeo', 1, 'nhfe', 1, 'nkeþ', 1, 'sfg1en', 1]",False,False
fatnaði,8,"['nkeþ', 8]",vatnaði,1,"['sfg3eþ', 1]",True,False
fá,3891,"['sng', 3525, 'sfg3fn', 308, 'lhfnsf', 28, 'lhfosf', 9, 'nveo', 6, 'x', 4, 'au', 3, 'lvensf', 3, 'nven', 2, 'sfg1eþ', 1, 'sbg2en', 1, 'nveþ', 1]",vá,169,"['au', 162, 'aa', 3, 'nveo', 2, 'nven', 2]",False,False
færð,193,"['sfg2en', 115, 'sþgven', 46, 'sþghfn', 14, 'nven', 5, 'lhfnsf', 5, 'nveo', 4, 'nveþ', 4]",værð,22,"['nven', 13, 'nveo', 8, 'nveþ', 1]",False,False
farið,2831,"['ssg', 1936, 'sþghen', 824, 'sfg2fn', 41, 'sbg2fn', 19, 'nheog', 7, 'nheng', 2, 'lhensf', 1, 'x', 1]",varið,107,"['sþghen', 59, 'ssg', 34, 'lhensf', 7, 'sbg2fn', 3, 'lheosf', 3, 'nheog', 1]",False,False
færa,487,"['sng', 471, 'sfg3fn', 9, 'lvenvf', 3, 'lheþvf', 1, 'lkfosf', 1, 'lveosf', 1, 'nven', 1]",væra,2,"['lkeþvf', 1, 'lheþvf', 1]",False,False
fari,483,"['svg3en', 251, 'nheþ', 104, 'svg3fn', 78, 'svg1en', 44, 'nheþs', 4, 'nheo', 2]",vari,5,"['nken', 2, 'nheþ', 2, 'svg3fn', 1]",False,False
færi,1044,"['svg3eþ', 738, 'svg1eþ', 117, 'nheþ', 56, 'sfg1en', 42, 'nhen', 32, 'svg3en', 20, 'nhfo', 16, 'nheo', 16, 'svg3fn', 5, 'nhfn', 1, 'svg1en', 1]",væri,12234,"['svg3eþ', 11284, 'svg1eþ', 933, 'nheþ', 11, 'svg3en', 3, 'nhfn', 1, 'nveos', 1, 'nhen', 1]",False,False
fæði,60,"['nheþ', 34, 'nheo', 20, 'nhen', 6]",væði,1,"['svg3eþ', 1]",True,False
ferðum,121,"['nvfþ', 121]",verðum,425,"['sfg1fn', 413, 'svg1fn', 9, 'lkeþsf', 2, 'lvfþsf', 1]",True,False
ferðir,137,"['nvfo', 102, 'nvfn', 35]",verðir,65,"['svg2en', 37, 'nkfn', 26, 'lkfnsf', 2]",True,False
