Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
bý,53,"['sfg1en', 48, 'nhfo', 3, 'nkeþ', 1, 'nkeo', 1]",bí,9,"['aa', 9]",True,False
býð,37,"['sfg1en', 36, 'x', 1]",bíð,56,"['sfg1en', 56]",False,False
býður,193,"['sfg3en', 184, 'sfg2en', 8, 'sfg1fn', 1]",bíður,266,"['sfg3en', 260, 'sfg2en', 6]",False,False
býlanna,1,"['nhfeg', 1]",bílanna,5,"['nkfeg', 5]",True,False
býlum,2,"['nhfþ', 2]",bílum,78,"['nkfþ', 76, 'sfg1fn', 1, 'nvfþ', 1]",True,False
býti,1,"['svg3en', 1]",bíti,4,"['svg3en', 3, 'nheþ', 1]",False,False
býtið,3,"['nheog', 3]",bítið,21,"['nheog', 21]",False,True
dýrka,5,"['sng', 4, 'sfg1en', 1]",dírka,3,"['sng', 3]",False,False
frýs,17,"['sfg3en', 11, 'nhen', 3, 'nheo', 2, 'sfg1en', 1]",frís,1,"['nhee', 1]",True,False
frýsa,3,"['sng', 3]",frísa,1,"['nkeþ', 1]",True,False
fýla,14,"['nven', 10, 'sng', 3, 'nkfo', 1]",fíla,24,"['sng', 12, 'sfg1en', 8, 'nven', 2, 'nkfo', 2]",False,False
fýllinn,1,"['nkeng', 1]",fíllinn,5,"['nkeng', 4, 'nkengs', 1]",False,False
fýlnum,2,"['nkeþg', 2]",fílnum,2,"['nkeþg', 2]",False,True
fýlu,46,"['nveþ', 29, 'nveo', 17]",fílu,1,"['nveo', 1]",False,False
fýrað,2,"['ssg', 2]",fírað,1,"['ssg', 1]",False,True
gýg,10,"['nkeo', 10]",gíg,6,"['nkeo', 4, 'lhfnsf', 1, 'nkeþ', 1]",False,False
hlýða,122,"['sng', 111, 'sfg3fn', 6, 'nven', 5]",hlíða,2,"['nvfes', 1, 'nvfe', 1]",True,False
hlýðin,4,"['lvensf', 3, 'lhfnsf', 1]",hlíðin,10,"['nveng', 10]",True,False
hlýðum,6,"['sfg1fn', 5, 'nvfþ', 1]",hlíðum,36,"['nvfþ', 31, 'nvfþs', 5]",False,False
hlýta,1,"['sng', 1]",hlíta,26,"['sng', 24, 'sfg3fn', 1, 'lhenvf', 1]",False,False
hrýs,5,"['sfg3en', 5]",hrís,4,"['nheo', 3, 'nken', 1]",True,False
hýði,5,"['nheþ', 5]",híði,4,"['nheþ', 3, 'nheo', 1]",False,False
hýra,3,"['lveosf', 1, 'lheþvf', 1, 'lkfosf', 1]",híra,1,"['sng', 1]",True,False
hýrast,1,"['snm', 1]",hírast,22,"['snm', 15, 'sfm3fn', 4, 'ssm', 2, 'sfm3en', 1]",False,False
hýrðust,1,"['sfm3fþ', 1]",hírðust,3,"['sfm3fþ', 3]",False,True
hýrst,1,"['ssm', 1]",hírst,3,"['ssm', 3]",False,True
klýfur,9,"['sfg3en', 9]",klífur,5,"['sfg3en', 4, 'sfg2en', 1]",False,False
krýlið,1,"['nheog', 1]",krílið,2,"['nheog', 1, 'nheng', 1]",False,False
krýp,9,"['sfg1en', 9]",kríp,2,"['nkeo', 2]",True,False
kýlum,3,"['sfg1fn', 2, 'nkfþ', 1]",kílum,1,"['nkfþ', 1]",False,False
ljóstýra,3,"['nven', 3]",ljóstíra,1,"['nven', 1]",False,True
ljóstýru,3,"['nveo', 2, 'nveþ', 1]",ljóstíru,3,"['nveo', 2, 'nveþ', 1]",False,True
ljóstýrur,3,"['nvfn', 2, 'nvfo', 1]",ljóstírur,2,"['nvfn', 2]",False,False
lýð,13,"['nkeo', 7, 'nkeþ', 6]",líð,3,"['sfg1en', 1, 'nhen', 1, 'nheo', 1]",True,False
lýða,1,"['nkfe', 1]",líða,439,"['sng', 350, 'sfg3fn', 89]",True,False
lýði,12,"['nkfo', 12]",líði,89,"['svg3en', 63, 'nheþ', 19, 'svg3fn', 6, 'svg1en', 1]",True,False
lýðum,2,"['nkfþ', 2]",líðum,3,"['sfg1fn', 3]",True,False
lýður,8,"['nken', 5, 'nkens', 3]",líður,540,"['sfg3en', 540]",True,False
lýk,11,"['sfg1en', 11]",lík,186,"['lvensf', 70, 'nhen', 35, 'nheo', 34, 'lhfnsf', 21, 'nhfo', 11, 'nhfn', 8, 'lhfosf', 3, 'nhens', 3, 'nven', 1]",True,False
lýkst,3,"['sfm3en', 3]",líkst,3,"['ssm', 3]",True,False
lýkur,144,"['sfg3en', 142, 'sfg2en', 1, 'sfg2fn', 1]",líkur,195,"['nvfn', 97, 'lkensf', 57, 'nvfo', 33, 'sfg3en', 8]",False,False
lýst,326,"['sþghen', 194, 'ssg', 126, 'lhfnsf', 3, 'lvensf', 2, 'sþghfn', 1]",líst,119,"['sfm3en', 118, 'ssg', 1]",False,False
lýt,5,"['sfg1en', 5]",lít,147,"['sfg1en', 143, 'sbg2en', 4]",False,False
lýta,5,"['nhfe', 3, 'sng', 2]",líta,880,"['sng', 791, 'sfg3fn', 89]",False,False
lýtið,1,"['nheng', 1]",lítið,1459,"['lhensf', 565, 'aa', 483, 'lheosf', 405, 'sbg2fn', 5, 'sfg2fn', 1]",True,False
lýtir,1,"['nken', 1]",lítir,2,"['svg2en', 2]",True,False
lýtur,50,"['sfg3en', 50]",lítur,763,"['sfg3en', 726, 'sfg2en', 35, 'sfg1fn', 1, 'sfg1en', 1]",False,False
mýla,1,"['sng', 1]",míla,1,"['nven', 1]",True,False
partý,11,"['nheo', 6, 'nhen', 4, 'nhfo', 1]",partí,61,"['nheo', 28, 'nhen', 18, 'nhfo', 13, 'nhfn', 2]",False,False
partýi,3,"['nheþ', 3]",partíi,12,"['nheþ', 12]",False,True
partýið,4,"['nheog', 4]",partíið,29,"['nheog', 18, 'nheng', 11]",False,False
partýinu,1,"['nheþg', 1]",partíinu,14,"['nheþg', 14]",False,True
rommý,1,"['nheo', 1]",rommí,3,"['nheo', 3]",False,True
rýf,2,"['sfg1en', 2]",ríf,6,"['sfg1en', 5, 'lhfnsf', 1]",False,False
rýfur,22,"['sfg3en', 21, 'sfg2en', 1]",rífur,54,"['sfg3en', 52, 'lkensf', 2]",False,False
rýk,6,"['sfg1en', 6]",rík,46,"['lvensf', 41, 'lhfnsf', 4, 'lhfosf', 1]",True,False
rýkur,67,"['sfg3en', 66, 'sfg2en', 1]",ríkur,53,"['lkensf', 53]",True,False
rýma,10,"['sng', 10]",ríma,17,"['sng', 11, 'sfg3fn', 5, 'nhfe', 1]",False,False
rými,46,"['nheo', 20, 'nhen', 14, 'nheþ', 12]",rími,4,"['nheþ', 3, 'svg3en', 1]",False,False
rýmið,20,"['nheog', 11, 'nheng', 9]",rímið,3,"['nheng', 2, 'nheog', 1]",False,True
rýminu,8,"['nheþg', 8]",ríminu,38,"['nheþg', 38]",False,True
skrýða,2,"['sng', 2]",skríða,147,"['sng', 132, 'sfg3fn', 15]",False,False
skrýtið,273,"['lhensf', 270, 'lheosf', 3]",skrítið,82,"['lhensf', 79, 'lheosf', 3]",False,True
skrýtilega,7,"['aa', 6, 'lvenvf', 1]",skrítilega,4,"['aa', 4]",False,False
skrýtin,59,"['lvensf', 54, 'lhfosf', 3, 'lhfnsf', 2]",skrítin,25,"['lvensf', 19, 'lhfnsf', 3, 'lhfosf', 3]",False,True
skrýtinn,43,"['lkensf', 41, 'lkeosf', 2]",skrítinn,18,"['lkensf', 15, 'lkeosf', 3]",False,True
skrýtlum,1,"['nvfþ', 1]",skrítlum,1,"['nvfþ', 1]",False,True
