Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
breytt,267,"['sþghen', 147, 'ssg', 105, 'lheosf', 6, 'lvensf', 3, 'lhfnsf', 2, 'aa', 2, 'lhensf', 2]",breitt,113,"['aa', 42, 'lhensf', 26, 'sþghen', 22, 'ssg', 11, 'lheosf', 8, 'sþgheo', 4]",FALSE,FALSE,113
brygði,29,"['svg3eþ', 28, 'svg1eþ', 1]",brigði,1,"['nheo', 1]",TRUE,FALSE,1
byði,35,"['svg3eþ', 31, 'svg1eþ', 4]",biði,81,"['svg3eþ', 74, 'svg1eþ', 7]",FALSE,TRUE,35
byðu,7,"['svg3fþ', 7]",biðu,254,"['sfg3fþ', 239, 'nveo', 12, 'nvee', 2, 'svg3fþ', 1]",FALSE,FALSE,7
byl,1,"['sfg1en', 1]",bil,324,"['nheo', 316, 'nhen', 6, 'nhfn', 2]",TRUE,FALSE,1
bylt,6,"['ssg', 6]",bilt,14,"['lhensf', 9, 'lheosf', 5]",TRUE,FALSE,6
byndi,1,"['svg3eþ', 1]",bindi,68,"['nheo', 28, 'nhen', 18, 'nheþ', 14, 'nhfo', 5, 'nhfn', 3]",TRUE,FALSE,1
byrgði,10,"['sfg3eþ', 8, 'svg3eþ', 2]",birgði,1,"['sfg3eþ', 1]",FALSE,FALSE,1
byrgðu,3,"['sfg3fþ', 3]",birgðu,2,"['sfg3fþ', 2]",FALSE,TRUE,2
byrgðum,1,"['lkfþsf', 1]",birgðum,4,"['nvfþ', 4]",TRUE,FALSE,1
byrginn,7,"['nkeog', 7]",birginn,6,"['nkeog', 6]",FALSE,TRUE,6
byrgja,22,"['sng', 18, 'sfg3fn', 4]",birgja,4,"['sng', 4]",FALSE,FALSE,4
byrgt,6,"['ssg', 4, 'lhensf', 2]",birgt,3,"['ssg', 2, 'lhensf', 1]",FALSE,TRUE,3
byrgur,1,"['lkensf', 1]",birgur,1,"['lkensf', 1]",FALSE,TRUE,1
byrst,4,"['ssm', 4]",birst,69,"['ssm', 69]",FALSE,TRUE,4
byttu,2,"['nveþs', 1, 'nveo', 1]",bittu,1,"['sbg2en', 1]",TRUE,FALSE,1
dygg,1,"['lvensf', 1]",digg,1,"['nhen', 1]",TRUE,FALSE,1
dygga,4,"['lhenvf', 1, 'lveosf', 1, 'lkeþvf', 1, 'lheovf', 1]",digga,1,"['sng', 1]",TRUE,FALSE,1
eyða,300,"['sng', 272, 'sfg3fn', 20, 'nven', 6, 'nvfe', 2]",eiða,10,"['nhfe', 5, 'nkfo', 3, 'nkfe', 1, 'nkfos', 1]",TRUE,FALSE,10
eyði,48,"['nheo', 28, 'sfg1en', 11, 'svg3en', 4, 'svg3fn', 3, 'nheþ', 1, 'svg1en', 1]",eiði,13,"['nkeþs', 7, 'nheþ', 3, 'nkeþ', 1, 'nhfn', 1, 'nhen', 1]",FALSE,FALSE,13
eyðið,4,"['sfg2fn', 2, 'nheng', 1, 'nheog', 1]",eiðið,3,"['nheog', 2, 'nheng', 1]",FALSE,FALSE,3
eyðum,2,"['sfg1fn', 1, 'svg1fn', 1]",eiðum,7,"['nkfþs', 4, 'nvfþs', 2, 'nhfþ', 1]",TRUE,FALSE,2
eyður,14,"['nvfo', 9, 'nvfn', 5]",eiður,15,"['nkens', 12, 'nken', 3]",TRUE,FALSE,14
eygðu,1,"['sfg3fþ', 1]",eigðu,9,"['sbg2en', 8, 'sbg2en', 1]",TRUE,FALSE,1
eygi,2,"['sfg1en', 1, 'svg3fn', 1]",eigi,1032,"['svg3en', 615, 'aa', 220, 'svg3fn', 126, 'svg1en', 71]",FALSE,FALSE,2
eygir,9,"['sfg3en', 9]",eigir,30,"['svg2en', 30]",TRUE,FALSE,9
eyk,2,"['sfg1en', 2]",eik,19,"['nveþ', 13, 'nvens', 3, 'nven', 2, 'nveo', 1]",TRUE,FALSE,2
eykjum,2,"['nhfþ', 2]",eikjum,1,"['nvfþ', 1]",TRUE,FALSE,1
eykur,51,"['sfg3en', 51]",eikur,3,"['nvfn', 1, 'nvee', 1, 'nvfo', 1]",TRUE,FALSE,3
eyna,8,"['nveog', 8]",eina,1883,"['tfveo', 702, 'lhenvf', 515, 'lvenvf', 257, 'foveo', 231, 'lheovf', 64, 'lheþvf', 35, 'lkeovf', 23, 'lkeþvf', 19, 'lkfosf', 10, 'sng', 7, 'fokfo', 6, 'lveosf', 5, 'sfg3fn', 4, 'nvens', 2, 'lkeevf', 2, 'sfg1en', 1]",TRUE,FALSE,8
eynni,29,"['nveþg', 29]",einni,569,"['tfveþ', 347, 'foveþ', 179, 'lveþsf', 43]",TRUE,FALSE,29
eyra,114,"['nheo', 71, 'nheþ', 30, 'nven', 6, 'nhen', 4, 'nvfes', 3]",eira,2,"['sfg3fn', 1, 'sng', 1]",TRUE,FALSE,2
eyri,33,"['nkeo', 14, 'nkeþ', 7, 'nkeþs', 5, 'nveþs', 5, 'nveos', 2]",eiri,3,"['nheþ', 3]",TRUE,FALSE,3
eyrinn,2,"['nkeog', 2]",eirinn,1,"['nkeng', 1]",TRUE,FALSE,1
eyrir,3,"['nken', 3]",eirir,3,"['sfg3en', 3]",TRUE,FALSE,3
