Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
breytt,267,"['sþghen', 147, 'ssg', 105, 'lheosf', 6, 'lvensf', 3, 'lhfnsf', 2, 'aa', 2, 'lhensf', 2]",breitt,113,"['aa', 42, 'lhensf', 26, 'sþghen', 22, 'ssg', 11, 'lheosf', 8, 'sþgheo', 4]",False,False
brygði,29,"['svg3eþ', 28, 'svg1eþ', 1]",brigði,1,"['nheo', 1]",True,False
byði,35,"['svg3eþ', 31, 'svg1eþ', 4]",biði,81,"['svg3eþ', 74, 'svg1eþ', 7]",False,True
byðu,7,"['svg3fþ', 7]",biðu,254,"['sfg3fþ', 239, 'nveo', 12, 'nvee', 2, 'svg3fþ', 1]",False,False
byl,1,"['sfg1en', 1]",bil,324,"['nheo', 316, 'nhen', 6, 'nhfn', 2]",True,False
bylt,6,"['ssg', 6]",bilt,14,"['lhensf', 9, 'lheosf', 5]",True,False
byndi,1,"['svg3eþ', 1]",bindi,68,"['nheo', 28, 'nhen', 18, 'nheþ', 14, 'nhfo', 5, 'nhfn', 3]",True,False
byrgði,10,"['sfg3eþ', 8, 'svg3eþ', 2]",birgði,1,"['sfg3eþ', 1]",False,False
byrgðu,3,"['sfg3fþ', 3]",birgðu,2,"['sfg3fþ', 2]",False,True
byrgðum,1,"['lkfþsf', 1]",birgðum,4,"['nvfþ', 4]",True,False
byrginn,7,"['nkeog', 7]",birginn,6,"['nkeog', 6]",False,True
byrgja,22,"['sng', 18, 'sfg3fn', 4]",birgja,4,"['sng', 4]",False,False
byrgt,6,"['ssg', 4, 'lhensf', 2]",birgt,3,"['ssg', 2, 'lhensf', 1]",False,True
byrgur,1,"['lkensf', 1]",birgur,1,"['lkensf', 1]",False,True
byrst,4,"['ssm', 4]",birst,69,"['ssm', 69]",False,True
byttu,2,"['nveþs', 1, 'nveo', 1]",bittu,1,"['sbg2en', 1]",True,False
dygg,1,"['lvensf', 1]",digg,1,"['nhen', 1]",True,False
dygga,4,"['lhenvf', 1, 'lveosf', 1, 'lkeþvf', 1, 'lheovf', 1]",digga,1,"['sng', 1]",True,False
eyða,300,"['sng', 272, 'sfg3fn', 20, 'nven', 6, 'nvfe', 2]",eiða,10,"['nhfe', 5, 'nkfo', 3, 'nkfe', 1, 'nkfos', 1]",True,False
eyði,48,"['nheo', 28, 'sfg1en', 11, 'svg3en', 4, 'svg3fn', 3, 'nheþ', 1, 'svg1en', 1]",eiði,13,"['nkeþs', 7, 'nheþ', 3, 'nkeþ', 1, 'nhfn', 1, 'nhen', 1]",False,False
eyðið,4,"['sfg2fn', 2, 'nheng', 1, 'nheog', 1]",eiðið,3,"['nheog', 2, 'nheng', 1]",False,False
eyðum,2,"['sfg1fn', 1, 'svg1fn', 1]",eiðum,7,"['nkfþs', 4, 'nvfþs', 2, 'nhfþ', 1]",True,False
eyður,14,"['nvfo', 9, 'nvfn', 5]",eiður,15,"['nkens', 12, 'nken', 3]",True,False
eygðu,1,"['sfg3fþ', 1]",eigðu,9,"['sbg2en', 8, 'sbg2en', 1]",True,False
eygi,2,"['sfg1en', 1, 'svg3fn', 1]",eigi,1032,"['svg3en', 615, 'aa', 220, 'svg3fn', 126, 'svg1en', 71]",False,False
eygir,9,"['sfg3en', 9]",eigir,30,"['svg2en', 30]",True,False
eyk,2,"['sfg1en', 2]",eik,19,"['nveþ', 13, 'nvens', 3, 'nven', 2, 'nveo', 1]",True,False
eykjum,2,"['nhfþ', 2]",eikjum,1,"['nvfþ', 1]",True,False
eykur,51,"['sfg3en', 51]",eikur,3,"['nvfn', 1, 'nvee', 1, 'nvfo', 1]",True,False
eyna,8,"['nveog', 8]",eina,1883,"['tfveo', 702, 'lhenvf', 515, 'lvenvf', 257, 'foveo', 231, 'lheovf', 64, 'lheþvf', 35, 'lkeovf', 23, 'lkeþvf', 19, 'lkfosf', 10, 'sng', 7, 'fokfo', 6, 'lveosf', 5, 'sfg3fn', 4, 'nvens', 2, 'lkeevf', 2, 'sfg1en', 1]",True,False
eynni,29,"['nveþg', 29]",einni,569,"['tfveþ', 347, 'foveþ', 179, 'lveþsf', 43]",True,False
eyra,114,"['nheo', 71, 'nheþ', 30, 'nven', 6, 'nhen', 4, 'nvfes', 3]",eira,2,"['sfg3fn', 1, 'sng', 1]",True,False
eyri,33,"['nkeo', 14, 'nkeþ', 7, 'nkeþs', 5, 'nveþs', 5, 'nveos', 2]",eiri,3,"['nheþ', 3]",True,False
eyrinn,2,"['nkeog', 2]",eirinn,1,"['nkeng', 1]",True,False
eyrir,3,"['nken', 3]",eirir,3,"['sfg3en', 3]",True,False
eytt,99,"['ssg', 82, 'sþghen', 15, 'lhensf', 2]",eitt,3145,"['tfheo', 1050, 'foheo', 683, 'tfhen', 569, 'fohen', 513, 'lhensf', 158, 'lheosf', 84, 'ta', 66, 'to', 12, 'x', 3, 'lhensf', 2, 'lhensf', 2, 'lheosf', 1, 'as', 1, 'lheosf', 1]",False,False
flykki,4,"['nheþ', 1, 'nheo', 1, 'nhen', 1, 'svg3en', 1]",flikki,7,"['nheþ', 3, 'nhen', 2, 'nheo', 1, 'nhfo', 1]",False,False
flykkinu,1,"['nheþg', 1]",flikkinu,1,"['nheþg', 1]",False,True
fylla,153,"['sng', 108, 'sfg3fn', 44, 'nven', 1]",filla,1,"['nvfe', 1]",True,False
fyrr,2728,"['aam', 2728]",firr,2,"['sbg2en', 2]",True,False
fyrra,423,"['lheovm', 277, 'lheþvm', 114, 'lhenvm', 25, 'lheevm', 7]",firra,17,"['sng', 11, 'nven', 6]",True,False
geyma,303,"['sng', 271, 'sfg3fn', 20, 'nkfo', 10, 'nkfe', 2]",geima,22,"['nkfo', 22]",False,False
geymi,28,"['svg3en', 9, 'sfg1en', 8, 'nkeþ', 7, 'svg1en', 2, 'nkeo', 2]",geimi,5,"['nkeþ', 3, 'nheþ', 2]",False,False
geymið,8,"['sbg2fn', 7, 'sfg2fn', 1]",geimið,1,"['nheog', 1]",True,False
geyminn,8,"['nkeog', 7, 'lkensf', 1]",geiminn,14,"['nkeog', 14]",False,False
geysa,2,"['sfg3fn', 1, 'sng', 1]",geisa,8,"['sng', 7, 'sfg3fn', 1]",False,True
glytta,2,"['sng', 2]",glitta,34,"['sng', 33, 'nven', 1]",False,False
glytti,1,"['sfg3eþ', 1]",glitti,29,"['sfg3eþ', 29]",False,True
greypst,4,"['ssm', 4]",greipst,2,"['sfg2eþ', 2]",True,False
greypt,14,"['sþghen', 8, 'ssg', 4, 'lvensf', 2]",greipt,1,"['lvensf', 1]",False,False
greyptar,1,"['lvfnsf', 1]",greiptar,1,"['lvfnsf', 1]",False,True
greypti,1,"['sfg3eþ', 1]",greipti,1,"['lkenvf', 1]",True,False
gyldi,1,"['svg3eþ', 1]",gildi,266,"['nheo', 141, 'nheþ', 70, 'nhen', 19, 'nhfn', 16, 'nhfo', 9, 'svg3en', 7, 'svg3fn', 3, 'sfg1en', 1]",True,False
gyldir,1,"['svg2eþ', 1]",gildir,174,"['sfg3en', 171, 'lkfnsf', 2, 'nvfn', 1]",True,False
gyldu,3,"['svg3fþ', 3]",gildu,5,"['lheþsf', 5]",True,False
gylli,1,"['nvee', 1]",gilli,3,"['nhen', 3]",True,False
gyrða,1,"['sfg3fn', 1]",girða,18,"['sng', 12, 'sfg3fn', 6]",False,False
gyrðir,7,"['sfg3en', 5, 'nkens', 2]",girðir,3,"['sfg3en', 3]",False,False
gyrt,1,"['lvensf', 1]",girt,9,"['sþghen', 6, 'ssg', 2, 'lhfnsf', 1]",True,False
gyrta,1,"['lkfosf', 1]",girta,1,"['lkfosf', 1]",False,True
gyrti,5,"['sfg3eþ', 3, 'sfg1eþ', 2]",girti,15,"['sfg3eþ', 14, 'sfg1eþ', 1]",False,True
gyrtir,1,"['lkfnsf', 1]",girtir,3,"['lkfnsf', 2, 'svg2eþ', 1]",False,False
gyrtu,1,"['sfg3fþ', 1]",girtu,4,"['sfg3fþ', 4]",False,True
gyrtum,1,"['lkeþsf', 1]",girtum,1,"['lkfþsf', 1]",True,False
gysið,1,"['nheog', 1]",gisið,4,"['lhensf', 4]",True,False
heilyndi,1,"['nheo', 1]",heilindi,11,"['nhfo', 10, 'nhfn', 1]",True,False
hreyfir,45,"['sfg3en', 40, 'sfg2en', 4, 'lkfnsf', 1]",hreifir,1,"['lkfnsf', 1]",False,False
hreyfst,11,"['ssm', 11]",hreifst,23,"['sfm3eþ', 20, 'sfm1eþ', 3]",True,False
hreyfum,1,"['sfg1fn', 1]",hreifum,1,"['nkfþ', 1]",True,False
hreyfur,1,"['lkensf', 1]",hreifur,5,"['lkensf', 5]",False,True
hryndi,8,"['svg3eþ', 8]",hrindi,3,"['sfg1en', 2, 'nkeþ', 1]",True,False
hrynur,26,"['sfg3en', 23, 'nken', 3]",hrinur,3,"['nvfo', 2, 'nvfn', 1]",True,False
hyldi,2,"['svg3eþ', 1, 'nhen', 1]",hildi,29,"['nveos', 14, 'nkeþs', 7, 'nveo', 4, 'nveþs', 2, 'nkeþ', 1, 'nvens', 1]",True,False
hylla,6,"['sng', 5, 'sfg3fn', 1]",hilla,10,"['nven', 5, 'sng', 5]",False,False
hylli,24,"['nkeþ', 10, 'nvee', 6, 'nheo', 3, 'nkeo', 2, 'nhen', 2, 'nveo', 1]",hilli,2,"['svg3en', 2]",True,False
