Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
námi,142,"['nheþ', 142]",nami,1,"['nheþ', 1]",False,True,
árs,185,"['nhee', 185]",ars,2,"['nhee', 2]",False,True,
málinu,352,"['nheþg', 352]",malinu,1,"['nheþg', 1]",False,True,
háttur,27,"['nken', 27]",hattur,11,"['nken', 11]",False,True,
háttinn,65,"['nkeog', 65]",hattinn,62,"['nkeog', 62]",False,True,
káli,8,"['nheþ', 8]",kali,4,"['nheþ', 4]",False,True,
kál,5,"['nhen', 3, 'nheo', 2]",kal,15,"['nhen', 13, 'nheo', 2]",False,True,
fárast,7,"['snm', 6, 'sfm3fn', 1]",farast,50,"['snm', 37, 'sfm3fn', 13]",False,True,
gállinn,19,"['nkeng', 19]",gallinn,26,"['nkeng', 26]",False,True,
málaður,18,"['lkensf', 18]",malaður,2,"['lkensf', 2]",False,True,
málarans,8,"['nkeeg', 8]",malarans,1,"['nkeeg', 1]",False,True,
málari,22,"['nken', 22]",malari,1,"['nken', 1]",False,True,
másaði,16,"['sfg3eþ', 16]",masaði,6,"['sfg3eþ', 6]",False,True,
káfaði,4,"['sfg3eþ', 4]",kafaði,12,"['sfg3eþ', 12]",False,True,
fátinu,9,"['nheþg', 9]",fatinu,11,"['nheþg', 11]",False,True,
skálanum,62,"['nkeþg', 62]",skalanum,2,"['nkeþg', 2]",False,True,
skálann,24,"['nkeog', 24]",skalann,3,"['nkeog', 3]",False,True,
bági,2,"['nken', 2]",bagi,1,"['nken', 1]",False,True,
ráfi,10,"['nheþ', 10]",rafi,2,"['nheþ', 2]",False,True,
gátan,4,"['nveng', 4]",gatan,36,"['nveng', 36]",False,True,
hált,10,"['lhensf', 9, 'lheosf', 1]",halt,5,"['lhensf', 4, 'lheosf', 1]",False,True,
mágar,2,"['nkfn', 2]",magar,1,"['nkfn', 1]",False,True,
másar,6,"['sfg3en', 6]",masar,2,"['sfg3en', 2]",False,True,
kálinu,1,"['nheþg', 1]",kalinu,2,"['nheþg', 2]",False,True,
flákar,1,"['nkfn', 1]",flakar,1,"['nkfn', 1]",False,True,
áts,1,"['nhee', 1]",ats,1,"['nhee', 1]",False,True,
pári,3,"['nheþ', 3]",pari,9,"['nheþ', 9]",False,True,
káfi,1,"['nheþ', 1]",kafi,87,"['nheþ', 87]",False,True,
fátaði,1,"['sfg3eþ', 1]",fataði,1,"['sfg3eþ', 1]",False,True,
hátturinn,1,"['nkeng', 1]",hatturinn,14,"['nkeng', 14]",False,True,
ráðhússins,3,"['nheeg', 3]",raðhússins,1,"['nheeg', 1]",False,True,
másið,2,"['nheog', 2]",masið,4,"['nheog', 4]",False,True,
fátið,5,"['nheog', 3, 'nheng', 2]",fatið,8,"['nheog', 6, 'nheng', 2]",False,True,
skálinn,13,"['nkeng', 13]",skalinn,1,"['nkeng', 1]",False,True,
párið,2,"['nheog', 1, 'nheng', 1]",parið,49,"['nheng', 45, 'nheog', 4]",False,True,
brákað,1,"['ssg', 1]",brakað,1,"['ssg', 1]",False,True,
káf,1,"['nheo', 1]",kaf,87,"['nheo', 87]",False,True,
prédikar,1,"['sfg3en', 1]",predikar,1,"['sfg3en', 1]",False,True,
prédikað,2,"['ssg', 2]",predikað,1,"['ssg', 1]",False,True,
marséraði,4,"['sfg3eþ', 4]",marseraði,1,"['sfg3eþ', 1]",False,True,
fléttur,30,"['nvfo', 22, 'nvfn', 8]",flettur,5,"['nvfo', 3, 'nvfn', 2]",False,True,
prédikunarstólinn,1,"['nkeog', 1]",predikunarstólinn,1,"['nkeog', 1]",False,True,
sléttunum,2,"['nvfþg', 2]",slettunum,5,"['nvfþg', 5]",False,True,
étinn,2,"['lkensf', 2]",etinn,1,"['lkensf', 1]",False,True,
sortéra,2,"['sng', 2]",sortera,5,"['sng', 5]",False,True,
kortéri,4,"['nheþ', 4]",korteri,3,"['nheþ', 3]",False,True,
réru,5,"['sfg3fþ', 5]",reru,28,"['sfg3fþ', 28]",False,True,
hringsnérist,1,"['sfm3eþ', 1]",hringsnerist,18,"['sfm3eþ', 18]",False,True,
spásséraði,1,"['sfg3eþ', 1]",spásseraði,1,"['sfg3eþ', 1]",False,True,
kortérs,2,"['nhee', 2]",korters,1,"['nhee', 1]",False,True,
kavalérinn,1,"['nkeng', 1]",kavalerinn,2,"['nkeng', 2]",False,True,
prédikarans,3,"['nkeeg', 3]",predikarans,3,"['nkeeg', 3]",False,True,
prédikuðu,1,"['sfg3fþ', 1]",predikuðu,1,"['sfg3fþ', 1]",False,True,
prédikaranum,2,"['nkeþg', 2]",predikaranum,1,"['nkeþg', 1]",False,True,
prédikari,2,"['nken', 2]",predikari,28,"['nken', 28]",False,True,
koffortið,7,"['nheog', 6, 'nheng', 1]",kofortið,4,"['nheng', 2, 'nheog', 2]",False,True,
kaffinu,64,"['nheþg', 64]",kafinu,5,"['nheþg', 5]",False,True,
skaffa,12,"['sng', 11, 'sfg3fn', 1]",skafa,11,"['sng', 10, 'sfg3fn', 1]",False,True,
sóffi,1,"['nken', 1]",sófi,9,"['nken', 9]",False,True,
gaffli,9,"['nkeþ', 9]",gafli,7,"['nkeþ', 7]",False,True,
göfflum,6,"['nkfþ', 6]",göflum,7,"['nkfþ', 7]",False,True,
gafflinum,10,"['nkeþg', 10]",gaflinum,6,"['nkeþg', 6]",False,True,
töfflum,4,"['nvfþ', 4]",töflum,6,"['nvfþ', 6]",False,True,
gafflar,2,"['nkfn', 2]",gaflar,1,"['nkfn', 1]",False,True,
gafflana,1,"['nkfog', 1]",gaflana,4,"['nkfog', 4]",False,True,
sóffanum,2,"['nkeþg', 2]",sófanum,135,"['nkeþg', 135]",False,True,
sóffann,1,"['nkeog', 1]",sófann,83,"['nkeog', 83]",False,True,
sóffinn,1,"['nkeng', 1]",sófinn,7,"['nkeng', 7]",False,True,
bakkanum,65,"['nkeþg', 65]",bagganum,1,"['nkeþg', 1]",False,True,
þakkar,56,"['sfg3en', 56]",þaggar,5,"['sfg3en', 5]",False,True,
flakkað,3,"['ssg', 3]",flaggað,5,"['ssg', 5]",False,True,
flakki,10,"['nheþ', 10]",flaggi,2,"['nheþ', 2]",False,True,
flakkaði,1,"['sfg3eþ', 1]",flaggaði,2,"['sfg3eþ', 2]",False,True,
lokkaði,7,"['sfg3eþ', 6, 'sfg1eþ', 1]",loggaði,2,"['sfg3eþ', 1, 'sfg1eþ', 1]",False,True,
flakkandi,1,"['slg', 1]",flaggandi,1,"['slg', 1]",False,True,
bakkarnir,2,"['nkfng', 2]",baggarnir,2,"['nkfng', 2]",False,True,
vakki,5,"['nheþ', 5]",vaggi,1,"['nheþ', 1]",False,True,
bökkunum,7,"['nkfþg', 7]",böggunum,1,"['nkfþg', 1]",False,True,
bakkana,5,"['nkfog', 5]",baggana,3,"['nkfog', 3]",False,True,
hakka,4,"['sng', 4]",hagga,9,"['sng', 9]",False,True,
brakki,1,"['nken', 1]",braggi,11,"['nken', 11]",False,True,
stekknum,6,"['nkeþg', 6]",steggnum,2,"['nkeþg', 2]",False,True,
haggað,25,"['sþghen', 19, 'ssg', 6]",hagað,36,"['ssg', 26, 'sþghen', 10]",False,True,
veggina,61,"['nkfog', 61]",vegina,6,"['nkfog', 6]",False,True,
