Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
mági,17,"['nkeþ', 17]",magi,9,"['nken', 9]",True,False,
sáum,154,"['sfg1fþ', 147, 'sfg1fn', 5, 'svg1fn', 1, 'nkfþ', 1]",saum,6,"['nkeo', 6]",True,False,
án,2587,"['ae', 2573, 'aa', 12, 'nkfo', 1, 'nven', 1]",an,51,"['e', 46, 'nheo', 3, 'nhen', 2]",True,False,
báta,55,"['nkfo', 45, 'nkfe', 9, 'nkfe', 1]",bata,32,"['nkeo', 18, 'nkeþ', 6, 'sng', 3, 'nhfe', 3, 'nkee', 2]",True,False,
máttar,6,"['nkee', 5, 'nhens', 1]",mattar,1,"['lvfosf', 1]",True,False,
ána,86,"['nveog', 78, 'nkeþ', 4, 'nkeo', 2, 'nkfo', 2]",ana,13,"['sng', 11, 'e', 2]",True,False,
sálar,46,"['nvee', 41, 'nveo', 3, 'nvfo', 2]",salar,1,"['nkee', 1]",True,False,
árin,318,"['nhfog', 273, 'nhfng', 39, 'nveng', 6]",arin,4,"['nkeo', 4]",True,False,
mál,1305,"['nhen', 582, 'nheo', 425, 'nhfo', 191, 'nhfn', 103, 'nkfþ', 4]",mal,3,"['nkeo', 3]",True,False,
dáði,23,"['sfg3eþ', 16, 'sfg1eþ', 4, 'svg3eþ', 1, 'svg1eþ', 1, 'lkenvf', 1]",daði,237,"['nkens', 210, 'nken', 15, 'nheþ', 6, 'nkfo', 6]",True,False,
báti,60,"['nkeþ', 60]",bati,3,"['nken', 3]",True,False,
fást,169,"['snm', 115, 'sfm3fn', 54]",fast,457,"['aa', 375, 'lheosf', 42, 'lhensf', 31, 'e', 8, 'sfm3en', 1]",True,False,
bátinn,139,"['nkeog', 139]",batinn,2,"['nkeng', 2]",True,False,
álfa,51,"['nkfo', 34, 'nvfe', 9, 'nkfe', 5, 'nven', 2, 'nkfe', 1]",alfa,2,"['nhen', 1, 'nvens', 1]",True,False,
mátti,1010,"['sfg3eþ', 883, 'sfg1eþ', 127]",matti,49,"['nkens', 42, 'lkenvf', 7]",True,False,
brást,105,"['sfm3eþ', 97, 'sfm1eþ', 7, 'sfm2eþ', 1]",brast,101,"['sfg3eþ', 88, 'sfg1eþ', 7, 'sfg2eþ', 6]",True,False,
dáða,25,"['nvfe', 23, 'nkee', 2]",daða,123,"['nkeþs', 45, 'nvens', 30, 'nkeos', 23, 'nkees', 19, 'nkeo', 4, 'sng', 2]",True,False,
sál,237,"['nveþ', 94, 'nveo', 76, 'nven', 59, 'nxens', 8]",sal,109,"['nkeþ', 78, 'nkeo', 25, 'nheo', 4, 'nhen', 2]",True,False,
lána,77,"['sng', 57, 'nveog', 7, 'sfg1en', 5, 'nhfe', 5, 'sfg3fn', 3]",lana,2,"['nvens', 2]",True,False,
ráðið,221,"['ssg', 137, 'nheng', 45, 'nheog', 26, 'sþghen', 10, 'sfg2fn', 2, 'lheosf', 1]",raðið,29,"['sbg2fn', 29]",True,False,
báðar,336,"['fovfn', 239, 'fovfo', 97]",baðar,17,"['sfg3en', 16, 'sfg2en', 1]",True,False,
hárri,50,"['lveþsf', 50]",harri,1,"['nkens', 1]",True,False,
skák,43,"['nveþ', 32, 'nveo', 9, 'nven', 2]",skak,1,"['nheo', 1]",True,False,
báða,152,"['fokfo', 152]",baða,78,"['sng', 49, 'nhfe', 25, 'sfg3fn', 3, 'sfg1en', 1]",True,False,
ála,4,"['lveosf', 2, 'nkfos', 1, 'nkfo', 1]",ala,91,"['sng', 78, 'sfg3fn', 11, 'nkfe', 2]",True,False,
spáð,32,"['sþghen', 24, 'ssg', 8]",spað,11,"['nheo', 11]",True,False,
ása,75,"['nvens', 61, 'nkfo', 5, 'nkees', 4, 'nkeþs', 3, 'nkfe', 1, 'sng', 1]",asa,6,"['nkeþ', 3, 'nkeo', 2, 'nkee', 1]",True,False,
gráður,51,"['nvfo', 32, 'nvfn', 19]",graður,4,"['lkensf', 4]",True,False,
dást,32,"['snm', 28, 'sfm3fn', 4]",dast,2,"['sfg2eþ', 2]",True,False,
mátt,476,"['sfg2en', 237, 'ssg', 162, 'nkeo', 77]",matt,11,"['e', 10, 'lhensf', 1]",True,False,
skápinn,31,"['nkeog', 31]",skapinn,1,"['nkeng', 1]",True,False,
skáp,90,"['nkeþ', 54, 'nkeo', 36]",skap,57,"['nheo', 51, 'nhen', 6]",True,False,
lás,52,"['nkeo', 31, 'nkeþ', 18, 'nken', 2, 'nkeþs', 1]",las,539,"['sfg3eþ', 360, 'sfg1eþ', 166, 'e', 13]",True,False,
skápa,16,"['nkfo', 13, 'nkfe', 3]",skapa,121,"['sng', 106, 'sfg3fn', 13, 'nhfe', 1, 'nkee', 1]",True,False,
lág,36,"['lvensf', 23, 'x', 7, 'lhfosf', 3, 'lhfnsf', 2, 'nveþ', 1]",lag,266,"['nheo', 210, 'nhen', 56]",True,False,
skápar,3,"['nkfn', 3]",skapar,25,"['sfg3en', 25]",True,False,
hál,3,"['lhfnsf', 1, 'lhfnsf', 1, 'lvensf', 1]",hal,18,"['nhen', 14, 'nkeþ', 2, 'nkeo', 2]",True,False,
hálli,4,"['lveþsf', 4]",halli,116,"['nkens', 79, 'nken', 17, 'nkeþs', 12, 'svg3en', 5, 'lkenvf', 2, 'nheþs', 1]",True,False,
lága,20,"['lveosf', 8, 'lheovf', 5, 'lheþvf', 3, 'lkfosf', 2, 'lkeovf', 1, 'lheevf', 1]",laga,204,"['nhfe', 106, 'sng', 91, 'sfg1en', 3, 'nkeþ', 2, 'sfg3fn', 1, 'nheo', 1]",True,False,
hári,90,"['nheþ', 88, 'svg3en', 1, 'svg3fn', 1]",hari,10,"['e', 10]",True,False,
