Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
ár,2105,"['nhfo', 1175, 'nheo', 564, 'nhfn', 249, 'nhen', 38, 'nvfn', 19, 'x', 14, 'nvfn', 14, 'nvfo', 8, 'nvee', 6, 'nven', 6, 'nveþ', 4, 'nken', 2, 'aa', 2, 'nkeo', 2, 'nvees', 1, 'nveo', 1]",ar,64,"['e', 54, 'sfg3en', 3, 'nvfn', 3, 'nhen', 2, 'nheo', 1, 'nvfo', 1]",False,False,
átti,4336,"['sfg3eþ', 3506, 'sfg1eþ', 825, 'svg3fn', 2, 'svg3en', 2, 'x', 1]",atti,3,"['sfg3eþ', 2, 'sfg1eþ', 1]",False,False,
hátt,1793,"['nkeo', 1118, 'aa', 576, 'lheosf', 50, 'lhensf', 49]",hatt,81,"['nkeo', 81]",False,False,
árið,1297,"['nheog', 1264, 'nheng', 33]",arið,1,"['nheog', 1]",False,False,
ára,1926,"['nhfe', 1923, 'nkeo', 1, 'nkfe', 1, 'nkfo', 1]",ara,129,"['nvens', 36, 'nkees', 36, 'nkeos', 26, 'nkeþs', 23, 'nkfe', 4, 'nkee', 2, 'nkfo', 1, 'nkeo', 1]",False,False,
mála,455,"['nhfe', 273, 'sng', 154, 'x', 9, 'nkeþ', 7, 'sfg1en', 5, 'sfg3fn', 3, 'nkeo', 2, 'nven', 2]",mala,23,"['sng', 12, 'nkfe', 7, 'sfg3fn', 2, 'sfg1en', 1, 'nvfe', 1]",False,False,
máls,186,"['nhee', 179, 'nhees', 6, 'x', 1]",mals,1,"['nhee', 1]",False,False,
átt,2404,"['ssg', 1378, 'nveo', 570, 'sfg2en', 328, 'sþghen', 88, 'nveþ', 40]",att,11,"['ssg', 11]",False,False,
láta,2687,"['sng', 2585, 'sfg3fn', 96, 'lkeovf', 3, 'nhfe', 1, 'lhenvf', 1, 'lheþvf', 1]",lata,2,"['nhfe', 1, 'lvenvf', 1]",False,False,
ári,558,"['nheþ', 558]",ari,444,"['nkens', 426, 'nken', 11, 'nheþ', 5, 'nkfo', 1, 'lveþsf', 1]",False,False,
málað,90,"['ssg', 73, 'sþghen', 17]",malað,11,"['ssg', 10, 'lhensf', 1]",False,False,
láti,101,"['svg3en', 47, 'svg3fn', 26, 'svg1en', 14, 'nheþ', 12, 'lkenvf', 2]",lati,4,"['nheþ', 4]",False,False,
málið,930,"['nheog', 558, 'nheng', 371, 'sfg2fn', 1]",malið,7,"['nheng', 4, 'nheog', 3]",False,False,
lágt,380,"['aa', 321, 'lhensf', 41, 'lheosf', 18]",lagt,753,"['ssg', 519, 'sþghen', 229, 'lhensf', 5]",False,False,
ráðast,129,"['snm', 96, 'sfm3fn', 33]",raðast,9,"['sfm3fn', 5, 'ssm', 2, 'sfm3en', 2]",False,False,
árar,39,"['nvfo', 23, 'nkfn', 14, 'sfg3en', 2]",arar,2,"['nkfn', 2]",False,False,
bága,42,"['nkeo', 34, 'nkeþ', 7, 'lkfosf', 1]",baga,11,"['nvfe', 6, 'nven', 2, 'sng', 1, 'nkee', 1, 'nkeo', 1]",False,False,
nám,162,"['nheo', 141, 'nhen', 19, 'nkeþ', 2]",nam,155,"['sfg3eþ', 142, 'sfg1eþ', 8, 'nhen', 4, 'nheo', 1]",False,False,
brátt,275,"['aa', 273, 'lheosf', 2]",bratt,15,"['lhensf', 13, 'lheosf', 2]",False,False,
ráða,574,"['sng', 429, 'sfg3fn', 76, 'nhfe', 65, 'nkfo', 2, 'nkfe', 1, 'nkeþ', 1]",raða,91,"['sng', 75, 'sfg3fn', 13, 'sfg1en', 1, 'nvfes', 1, 'nvfe', 1]",False,False,
háttar,107,"['nkee', 89, 'sfg3en', 18]",hattar,5,"['nkfn', 3, 'nkee', 2]",False,False,
háfa,1,"['sng', 1]",hafa,10808,"['sng', 6459, 'sfg3fn', 4338, 'x', 9, 'nkfo', 1, 'nhfe', 1]",False,False,
blási,4,"['svg3en', 3, 'svg1en', 1]",blasi,2,"['svg3en', 2]",False,False,
lát,71,"['nheo', 34, 'nhen', 24, 'nhfn', 7, 'lvensf', 3, 'sbg2en', 2, 'lhfnsf', 1]",lat,15,"['nhen', 10, 'nheo', 4, 'nvens', 1]",False,False,
háls,129,"['nkeo', 120, 'lheesf', 3, 'nkee', 2, 'nken', 2, 'nveo', 2]",hals,1,"['nkee', 1]",False,False,
fát,17,"['nheo', 10, 'nhen', 7]",fat,23,"['nheo', 17, 'e', 5, 'nhen', 1]",False,False,
blása,74,"['sng', 67, 'sfg3fn', 6, 'nven', 1]",blasa,36,"['sfg3fn', 19, 'sng', 17]",False,False,
tápi,1,"['nheþ', 1]",tapi,16,"['nheþ', 14, 'svg3fn', 1, 'svg3en', 1]",False,False,
sást,315,"['sfm3eþ', 275, 'sfg2eþ', 35, 'sfm1eþ', 3, 'snm', 1, 'sfm2eþ', 1]",sast,4,"['sfg2eþ', 4]",False,False,
hámaði,10,"['sfg3eþ', 6, 'sfg1eþ', 4]",hamaði,1,"['sfg3eþ', 1]",False,False,
skál,175,"['nveo', 89, 'nveþ', 34, 'nven', 24, 'nvens', 14, 'nveþs', 13, 'nhen', 1]",skal,1428,"['sfg3en', 859, 'sfg1en', 567, 'nhen', 1, 'nheo', 1]",False,False,
át,102,"['sfg3eþ', 85, 'sfg1eþ', 11, 'au', 4, 'nhen', 1, 'nheo', 1]",at,137,"['e', 65, 'c', 43, 'as', 19, 'nheo', 7, 'sfg3eþ', 1, 'cn', 1, 'nhen', 1]",False,False,
máta,83,"['nkeo', 39, 'sng', 26, 'nkeþ', 12, 'sfg1en', 2, 'nhfe', 2, 'nkfo', 2]",mata,17,"['sng', 8, 'nven', 6, 'nkfo', 3]",False,False,
