Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
hann,79185,"['fpken', 69161, 'fpkeo', 10019, 'nkeng', 3, 'nkeog', 2]",honum,14466,"['fpkeþ', 14461, 'nvfþ', 5]",TRUE,FALSE,14466
mig,11711,"['fp1eo', 11694, 'nveo', 10, 'x', 2, 'nkeþ', 2, 'nhen', 2, 'nkeo', 1]",mér,22243,"['fp1eþ', 22199, 'fp1eþ', 42, 'as', 1, 'nvfo', 1]",TRUE,FALSE,11711
þau,10964,"['fphfn', 8167, 'fphfo', 1902, 'fahfo', 488, 'fahfn', 397, 'e', 6, 'nheo', 4]",þeim,9773,"['fpkfþ', 4209, 'fphfþ', 1419, 'fakeþ', 1294, 'fpvfþ', 1110, 'fakfþ', 717, 'fahfþ', 558, 'favfþ', 451, 'x', 9, 'nveo', 3, 'nkeþ', 1, 'nhen', 1, 'fpkeþ', 1]",TRUE,FALSE,9773
hana,8308,"['fpveo', 8290, 'au', 16, 'nkeo', 1, 'nkeos', 1]",henni,9365,"['fpveþ', 9362, 'nken', 2, 'nheþ', 1]",TRUE,FALSE,8308
þig,3853,"['fp2eo', 3850, 'nveo', 2, 'x', 1]",þér,6450,"['fp2eþ', 6168, 'fp2fn', 269, 'nkfo', 4, 'nvfo', 3, 'nkfn', 3, 'nheþ', 1, 'fsken', 1, 'fp2en', 1]",TRUE,FALSE,3853
allir,2544,"['fokfn', 2538, 'nkfn', 4, 'nvfo', 1, 'lkfnsf', 1]",öll,2407,"['fohfn', 1065, 'fohfo', 807, 'foven', 533, 'ta', 1, 'sfg1eþ', 1]",TRUE,FALSE,2407
einn,3781,"['tfken', 995, 'tfkeo', 835, 'foken', 681, 'lkensf', 673, 'fokeo', 592, 'lkeosf', 3, 'tfheo', 2]",ein,1746,"['tfven', 801, 'lvensf', 411, 'foven', 371, 'lhfnsf', 81, 'fohfn', 31, 'lhfosf', 28, 'fohfo', 7, 'e', 5, 'aa', 5, 'lhfnsf', 2, 'lvensf', 1, 'nveng', 1, 'lhfosf', 1, 'as', 1]",TRUE,FALSE,1746
búinn,2174,"['lkensf', 2162, 'sþgken', 9, 'nkeng', 2, 'lkeosf', 1]",búin,1744,"['lvensf', 1433, 'lhfnsf', 270, 'sþgven', 17, 'x', 11, 'sþghfn', 7, 'nhfog', 5, 'as', 1]",TRUE,FALSE,1744
enginn,2704,"['foken', 2695, 'nkeng', 7, 'nkeog', 1, 'lkensf', 1]",engin,1551,"['foven', 947, 'fohfn', 322, 'fohfo', 265, 'x', 9, 'nhfog', 5, 'nhfn', 2, 'nveng', 1]",TRUE,FALSE,1551
mann,1288,"['nkeo', 1250, 'x', 28, 'nkeos', 9, 'nkeng', 1]",man,1075,"['sfg1en', 861, 'sfg3en', 182, 'e', 23, 'nhen', 4, 'nxen', 3, 'nheo', 1, 'c', 1]",TRUE,FALSE,1075
hinn,1406,"['gken', 593, 'gkeo', 318, 'faken', 313, 'fakeo', 173, 'e', 7, 'nkeng', 2]",hin,1064,"['gven', 593, 'fahfn', 131, 'faven', 129, 'ghfo', 117, 'fahfo', 55, 'ghfn', 27, 'x', 10, 'nveng', 1, 'foven', 1]",TRUE,FALSE,1064
